tax_id,Order,Family,Species,Density_log10,SD_log10,Q2.5_log10,Q5_log10,Q25_log10,Q75_log10,Q95_log10,Q97.5_log10,Predicted_Density_n_km2,Q2.5,Q5,Q25,Q75,Q95,Q97.5
22725264,Columbiformes,Columbidae,Patagioenas_fasciata,0.806181604,0.52489979,-0.221743458,-0.055257339,0.453102787,1.159328695,1.667529504,1.833726723,6.4,0.6,0.881,2.839,14.432,46.508,68.191
22690296,Columbiformes,Columbidae,Patagioenas_flavirostris,0.775041434,0.529556765,-0.258367848,-0.094914365,0.416647905,1.132271002,1.646444594,1.810962812,5.957,0.552,0.804,2.61,13.56,44.304,64.709
22690340,Columbiformes,Columbidae,Patagioenas_goodsoni,1.141429287,0.517934759,0.128264142,0.29065295,0.792015652,1.493990127,1.992743543,2.158037361,13.849,1.344,1.953,6.195,31.188,98.343,143.892
22690312,Columbiformes,Columbidae,Patagioenas_inornata,0.927250371,0.515580408,-0.081886028,0.079281324,0.580250838,1.273361892,1.773765418,1.93311777,8.458,0.828,1.2,3.804,18.766,59.397,85.727
22690229,Columbiformes,Columbidae,Patagioenas_leucocephala,1.033231104,0.51579866,0.025672953,0.186448413,0.685518277,1.382197708,1.882380372,2.039711644,10.795,1.061,1.536,4.848,24.11,76.275,109.575
22728285,Columbiformes,Columbidae,Patagioenas_maculosa,0.841834687,0.524368578,-0.18196278,-0.019575389,0.487833947,1.195309662,1.704003699,1.86664049,6.948,0.658,0.956,3.075,15.679,50.583,73.56
22690334,Columbiformes,Columbidae,Patagioenas_nigrirostris,1.110150418,0.515511698,0.1001708,0.258952677,0.764454498,1.458574349,1.954018921,2.114098738,12.887,1.259,1.815,5.814,28.746,89.954,130.047
22690302,Columbiformes,Columbidae,Patagioenas_oenops,0.783142792,0.530894297,-0.248758661,-0.082106582,0.422135826,1.14509694,1.667140549,1.816010897,6.069,0.564,0.828,2.643,13.967,46.467,65.465
22690253,Columbiformes,Columbidae,Patagioenas_picazuro,0.817156638,0.525256694,-0.209801468,-0.045087549,0.463517469,1.171108639,1.680098284,1.844849519,6.564,0.617,0.901,2.907,14.829,47.874,69.96
22690321,Columbiformes,Columbidae,Patagioenas_plumbea,0.908386422,0.535512066,-0.138117332,0.029623306,0.547122566,1.269661617,1.787390197,1.955405272,8.098,0.728,1.071,3.525,18.606,61.29,90.241
22690235,Columbiformes,Columbidae,Patagioenas_speciosa,1.056517234,0.517193749,0.044993481,0.206820792,0.708137974,1.405100449,1.905759853,2.068024682,11.39,1.109,1.61,5.107,25.416,80.493,116.957
