COMMON_NAME,area_square_miles,Estimate,Lower,Upper
Marsh Tapaculo,1988.318692,625,250,999
Algerian Nuthatch,95.21088015,625,250,999
Worthen's Sparrow,1312.154662,625,250,999
Pinto's Spinetail,290.4181477,625,250,999
Kofiau Paradise-Kingfisher,67.97068628,625,250,999
Orinoco Softtail,3.809837622,625,250,999
Hottentot Buttonquail,12842.6707,625,250,999
Giant Kingbird,1231.772868,625,250,999
Taliabu Masked-Owl,1110.136924,625,250,999
Long-whiskered Owlet,74.67509301,625,250,999
Sakalava Rail,11788.48174,625,250,999
Tuxtla Quail-Dove,49.24352383,625,250,999
Principe White-eye,15.78723788,625,250,999
Splendid White-eye,13.57394019,625,250,999
Seychelles White-eye,1.73042619,625,250,999
Galapagos Hawk,2177.428152,300,270,330
Cochabamba Mountain-Finch,1117.806737,1485,270,2700
Mewing Kingfisher,19.45750812,370,270,470
Bay-breasted Cuckoo,437.3458468,1600,300,2900
Javan Hawk-Eagle,5568.141457,400,300,500
Echo Parakeet,23.33872697,325,300,350
Makatea Fruit-Dove,9.690161036,900,300,1500
Akekee,2.015462369,655,310,1000
Cundinamarca Antpitta,171.5436915,565,330,800
Mrs. Moreau's Warbler,2606.140122,665,330,1000
Seychelles Parrot,18.3057785,470,340,600
Clarion Wren,12.63263705,370,340,400
Okarito Brown Kiwi,92.43060546,375,350,400
Fernandina's Flicker,2834.422912,465,400,530
Puaiohi,12.37651951,492,405,579
Yellow-breasted Pipit,7673.387968,817,424,1210
Philippine Cockatoo,8786.039862,590,430,750
Kolombangara Leaf Warbler,14.51806385,670,470,870
Stephen's Lorikeet,15.87337234,840,480,1200
Juan Fernandez Firecrown,3.12200618,1245,490,2000
Laysan Duck,0.586935815,590,500,680
Polynesian Imperial-Pigeon,9.690161036,885,570,1200
Rimitara Reed Warbler,2.642595614,1600,600,2600
Chestnut-bellied Hummingbird,2626.765756,1150,600,1700
Auckland Islands Teal,16.4094911,1300,600,2000
Rarotonga Starling,12.02402503,1150,600,1700
Yellow-browed Toucanet,674.232247,1050,600,1500
Gold-ringed Tanager,463.1823026,1150,600,1700
Black-and-gold Tanager,1540.097888,1150,600,1700
Dja River Swamp Warbler,4806.359008,1150,600,1700
Apolinar's Wren,1031.615205,1150,600,1700
Flores Crow,3511.822279,1150,600,1700
Chestnut-bellied Imperial-Pigeon,4178.717803,1150,600,1700
Mindoro Imperial-Pigeon,467.7230578,1150,600,1700
White-winged Nightjar,1179.853552,1150,600,1700
Blue-capped Hummingbird,1569.057134,1150,600,1700
Zapata Wren,811.7869951,1150,600,1700
Black-hooded Antwren,50.70610994,1150,600,1700
White-fronted Quail-Dove,1864.165248,1150,600,1700
Purple Quail-Dove,22079.03088,1150,600,1700
Giant Antpitta,5191.70377,1150,600,1700
Talaud Rail,325.2621711,1150,600,1700
Usambara Hyliota,159.3807595,1150,600,1700
Mauritius Cuckooshrike,45.1012944,650,600,700
Tolima Dove,1085.920654,1150,600,1700
Scimitar-winged Piha,5889.833718,1150,600,1700
Mountain Grackle,490.7720921,1150,600,1700
Violet-throated Metaltail,1052.303405,1150,600,1700
Española Mockingbird,25.68756195,1150,600,1700
Santa Marta Bush-Tyrant,211.0769195,1150,600,1700
Santa Marta Warbler,266.8197638,1150,600,1700
Sri Lanka Whistling-Thrush,1183.793815,1150,600,1700
Scalloped Antbird,192.787757,1150,600,1700
Slaty Becard,15695.77203,1150,600,1700
Chestnut-bellied Guan,11951.2454,1150,600,1700
Allpahuayo Antbird,3404.293347,1150,600,1700
Usambara Weaver,3021.612155,1150,600,1700
Angola Helmetshrike,1783.874719,1150,600,1700
Baudo Oropendola,1768.93712,1150,600,1700
Cameroon Francolin,74.6515646,1150,600,1700
Fringe-backed Fire-eye,1918.905711,1150,600,1700
Barbuda Warbler,59.43206893,1150,600,1700
Black-and-tawny Seedeater,43884.90424,1150,600,1700
Blue-headed Quail-Dove,11006.75505,1150,600,1700
White-tipped Monarch,65.85621365,1150,600,1700
Apurimac Spinetail,71.40773979,1150,600,1700
Russet-bellied Spinetail,201.4868395,1150,600,1700
Annobon White-eye,5.676056909,1150,600,1700
Negros Striped-Babbler,180.933937,1150,600,1700
Azores Bullfinch,55.76632553,1312,627,1996
Timor Green-Pigeon,8112.093826,1330,660,2000
Pied Goshawk,14463.78774,3685,670,6700
Rufous-necked Sparrowhawk,18590.85777,3685,670,6700
Black-mantled Goshawk,44575.26551,3685,670,6700
Vinous-breasted Sparrowhawk,56384.88443,3685,670,6700
Fiji Goshawk,6788.07736,3685,670,6700
Madagascar Jacana,43650.57478,3685,670,6700
Forest Buzzard,39170.16106,3685,670,6700
Crimson-headed Partridge,28232.47591,3685,670,6700
Tanimbar Scrubfowl,1245.442838,3685,670,6700
Carunculated Caracara,17357.52238,3685,670,6700
Gundlach's Hawk,12938.77738,800,700,900
Nicobar Scrubfowl,609.445938,1125,750,1500
Greater Adjutant,29941.33787,1000,800,1200
Red-necked Parrot,28.51624501,925,850,1000
Puerto Rican Nightjar,112.7178175,1115,930,1300
Ibadan Malimbe,640.6509938,1915,930,2900
New Britain Sparrowhawk,13737.72522,1750,1000,2499
Slaty-mantled Goshawk,11125.38152,1750,1000,2499
Bernier's Teal,20631.00657,1350,1000,1700
Great Green Macaw,41811.41337,1750,1000,2499
Brown Wood-Rail,46200.97935,1750,1000,2499
Sun Parakeet,37211.47585,1750,1000,2499
Sichuan Partridge,2975.814114,1750,1000,2499
Noisy Scrub-bird,63.28561354,1250,1000,1500
Pernambuco Foliage-gleaner,24695.99897,1750,1000,2499
Knysna Woodpecker,36845.08755,2150,1000,3300
Palau Nightjar,144.7715954,1750,1000,2499
Palm Lorikeet,4289.4552,1750,1000,2499
Red-headed Flameback,5206.545367,1750,1000,2499
Rufous-brown Solitaire,39515.44055,1750,1000,2499
Shelley's Crimsonwing,17776.84049,1750,1000,2499
Chestnut-bellied Flowerpiercer,277.8940475,1750,1000,2499
Andaman Woodpecker,2203.210991,1750,1000,2499
Solomons Nightjar,9283.064553,1750,1000,2499
Spotted Ground-Thrush,14995.52301,1750,1000,2499
Belding's Yellowthroat,1474.911856,1750,1000,2499
New Britain Bronzewing,12097.40244,1750,1000,2499
Bahia Antwren,596.6959141,1750,1000,2499
Moheli Bulbul,82.46278309,1750,1000,2499
St. Lucia Oriole,238.3666148,1750,1000,2499
Rusty-flanked Crake,14294.39905,1750,1000,2499
Swift Parrot,4756.010787,1750,1000,2499
Java Sparrow,38471.66458,1750,1000,2499
Purple-naped Lory,2431.944649,1750,1000,2499
Palila,51.96674249,1750,1000,2499
Pulitzer's Longbill,2210.458299,1750,1000,2499
Guadalcanal Thicketbird,209.5056939,1500,1000,2000
Truk Monarch,32.43049355,1750,1000,2499
Yellowhead,6532.728097,2167,1000,3333
Sulu Boobook,690.4036091,1750,1000,2499
