LocalityString,Country,State,County,Lat,Lon,Correction Status,Precision,Error Polygon,Error Polygon (circular polygon),Multiplot,AviList,Source,Specimen.number,n_specimens,Code
?,Liberia,,,6.08151,-10.044201,yes,,,,,Thescelocichla leucopleura,RMNH,RMNH126290,1,5
A 7 Km a O. de Munhino,Angola,,,-14.9564,12.9118,no,Low(37),unavailable,"-14.957478,12.976709,MUNHINO|Unavailable|Unavailable|Low(37),-15.166667,12.85,MUNHINO|Unavailable|Unavailable|Low(37),-15.016667,13.55,MUNHINO|Unavailable|Unavailable|Low(37),-14.968261,12.991311,MUNHINO|Unavailable|Unavailable|Low(37),-14.943372,12.964994,MUNHINO|Unavailable|Unavailable|Low(37),-14.848496,12.932278,MUNHINO|Unavailable|Unavailable|Low(37)",,Pycnonotus nigricans,"Lubango Museum, Angola",4679,1,2
"AGENEBODE (7.03364, 6.59203)",Nigeria,,,7.03364,6.59203,no,Low(39),unavailable,"7.105121,6.69381,AGENEBODE|Unavailable|Unavailable|Low(39)",,"Pycnonotus barbatus, Eurillas virens, Atimastillas flavicollis",Field1,"CA02644, CA02645, CA02647, CA02648, CA02650, CA02651, CA02652, CA01136, CA02659, CA02660, FB26101, FB26102, FB26103, FB26104, FB26105, FB26106, FB26107, FB26108, FB26109, 4A62323, FB26110",22,2
Acongo (S.ª do Mange),Angola,,,-12.866667,14.05,yes,Low(36),Unavailable,"-11.318874,14.305205,ACONGO|Unavailable|Unavailable|Low(36),-13.182778,15.729444,ACONGO|Unavailable|Unavailable|Low(36),-12.866667,14.05,ACONGO|Unavailable|Unavailable|Low(36),-12.048623,15.041248,ACONGO|Unavailable|Unavailable|Low(36),-12.327832,14.937524,ACONGO|Unavailable|Unavailable|Low(36),-11.95,15.783333,ACONGO|Unavailable|Unavailable|Low(36),-12.85,13.453889,MANGE|Unavailable|Unavailable|Low(35),-12.316667,14.116667,MANGE|Unavailable|Unavailable|Low(35),-12.628889,13.474444,MANGE|Unavailable|Unavailable|Low(35),-12.892778,13.466111,MANGE|Unavailable|Unavailable|Low(35),-11.716667,14.166667,MANGE|Unavailable|Unavailable|Low(35),-11.686657,14.510994,MANGE|Unavailable|Unavailable|Low(35),-11.679481,14.56978,MANGE|Unavailable|Unavailable|Low(35),-11.527097,14.844701,MANGE|Unavailable|Unavailable|Low(35),-12.495462,15.232201,MANGE|Unavailable|Unavailable|Low(35),-11.476562,15.73316,MANGE|Unavailable|Unavailable|Low(35)",,Atimastillas flavigula,"Lubango Museum, Angola","7638, 7636",2,2
"Agasthyamalai, Kerala",India,,,8.616309,77.246138,yes,Low(36),,"10.416667,76.5,KERALA|Unavailable|Unavailable|Low(36),11,78,KERALA|Unavailable|Unavailable|Low(36),11,78,KERALA|Unavailable|Unavailable|Low(36),10,76.5,KERALA|Unavailable|Unavailable|Low(36)",,"Rubigula gularis, Hypsipetes ganeesa, Pycnonotus jocosus",Indian Institute of Science Education and Research Tirupati,"a_7268, ab_4013, ab_4014, ab_4020, a_7402",5,3
"Alag River, at junction of Egbert River",Philippines,,,13.3667,121.0667,no,Low(40),unavailable,"13.3882,121.1079,ALAG RIVER|Unavailable|Unavailable|Low(40),13.3882,121.1079,ALAG|Unavailable|Unavailable|Low(34)",,Hypsipetes mindorensis,Smithsonian NMNH,"USNM 202078, USNM 202079, USNM 202077",3,3
"Alag River, left side, Mangyan clearing",Philippines,,,13.343786,120.939601,yes,Low(40),,"13.3882,121.1079,ALAG RIVER|Unavailable|Unavailable|Low(40),10.0548,123.6035,MANGYAN|Unavailable|Unavailable|Low(37),10.070052,123.59722,MANGYAN|Unavailable|Unavailable|Low(37),10.0377,123.625,MANGYAN|Unavailable|Unavailable|Low(37),13.3882,121.1079,ALAG|Unavailable|Unavailable|Low(34)",,Hypsipetes mindorensis,Smithsonian NMNH,"USNM 202080, USNM 202081, USNM 202084, USNM 202085, USNM 202086",5,3
Aldabra Island,Seychelles,,,-9.4167,46.366,yes,High(89),,"-9.4167,46.366,ALDABRA ISLAND|Unavailable|Unavailable|High(89),-9.416667,46.366667,ALDABRA ISLAND|Unavailable|Unavailable|High(89),-9.43333,46.3333,(g1)Aldabra Island|Unavailable|Unavailable|Medium(64)",,Hypsipetes madagascariensis,University of Cambridge Museum of Zoology,UMZC 27/Pyc/6/j/14,1,2
"Ambalapara, Kerala",India,,,10.831371,76.412681,yes,Low(40),Unavailable,"10.831371,76.412681,AMBALAPARA|Unavailable|Unavailable|Low(40),11,78,KERALA|Unavailable|Unavailable|Low(36),10.416667,76.5,KERALA|Unavailable|Unavailable|Low(36),11,78,KERALA|Unavailable|Unavailable|Low(36),10,76.5,KERALA|Unavailable|Unavailable|Low(36),24.990131,84.070228,BALAPAR|Unavailable|Unavailable|Low(24),25.332376,85.088213,BALAPAR|Unavailable|Unavailable|Low(24),26.843374,83.358353,BALAPAR|Unavailable|Unavailable|Low(24)",,"Hypsipetes ganeesa, Acritillas indica, Pycnonotus jocosus",Indian Institute of Science Education and Research Tirupati,"AB_159190, AB_159195, AB_159198, AB_159199, AB_159200, AB_159242, AB_159243, AB_159244, A_159246, AB_159247, AB_159248, AB_159249, AB_159251, AB_159252, AB_159301, AB_159302, AB_159303, AB_159304, AB_159305, AB_159308, A_264244, A_264256, A_264257, A_264263, A_264596",25,2
Amboina island,Indonesia,,,-3.7,128.183333,yes,Low(37),,"-3.7,128.183333,AMBOINA|Unavailable|Unavailable|Low(37),2.470833,97.574167,AMBOINA|Unavailable|Unavailable|Low(37),-3.6175,128.1675,AMBOINA|Unavailable|Unavailable|Low(37),-3.695833,128.183333,AMBOINA|Unavailable|Unavailable|Low(37)",,Hypsipetes affinis,Smithsonian NMNH,USNM 201380,1,4
"Ampasimaventy, Madagascar",Madagascar,,,-19.427575,48.835232,yes,Low(40),,"-20,47,MADAGASCAR|Unavailable|Unavailable|Low(40),-20,47,MADAGASCAR|Unavailable|Unavailable|Low(40)",,Hypsipetes madagascariensis,University of Cambridge Museum of Zoology,UMZC 27/Pyc/6/j/3,1,2
"Anaimudi, Kerala",India,,,10.170091,77.063919,yes,Low(36),,"10.416667,76.5,KERALA|Unavailable|Unavailable|Low(36),11,78,KERALA|Unavailable|Unavailable|Low(36),11,78,KERALA|Unavailable|Unavailable|Low(36),10,76.5,KERALA|Unavailable|Unavailable|Low(36)",,"Hypsipetes ganeesa, Pycnonotus jocosus",Indian Institute of Science Education and Research Tirupati,"a_4620, a_4614",2,3
"Anshi, Karnataka",India,,,14.992646,74.371099,yes,Low(39),Unavailable,"14.666667,75.833333,KARNATAKA|Unavailable|Unavailable|Low(39),13.5,76,KARNATAKA|Unavailable|Unavailable|Low(39),16,75,KARNATAKA|Unavailable|Unavailable|Low(39),16,75,KARNATAKA|Unavailable|Unavailable|Low(39),14.992646,74.371099,ANSHI|Unavailable|Unavailable|Low(35),14.983333,74.366667,ANSHI|Unavailable|Unavailable|Low(35),16,75,KARNATAK|Unavailable|Unavailable|Low(25),16,75,KARNATAK|Unavailable|Unavailable|Low(25),12,78,KARNATA|Unavailable|Unavailable|Low(24),25.048409,77.229874,KARNATA|Unavailable|Unavailable|Low(24)",,"Acritillas indica, Pycnonotus jocosus, Rubigula gularis",Indian Institute of Science Education and Research Tirupati,"a_94, a_93, a_90, ab_119, a_87, a_86, ab_120, a_83, a_58, a_60, ab_122, ab_123, z_131, a_7242, a_7241, a_7240, a_7239, a_7238, a_7237",19,3
Aqaba,Jordan,,,29.535639,35.016189,yes,,,,,Pycnonotus xanthopygos,Field1,NA,1,3
"BENIN (6.30654403, 5.580910016)",Nigeria,,,6.30654403,5.580910016,no,Low(35),unavailable,"6.338153,5.625749,BENIN|Unavailable|Unavailable|Low(35),5.75887,5.072606,BENIN|Unavailable|Unavailable|Low(35),6.344,5.627,BENIN|Unavailable|Unavailable|Low(35)",,Pycnonotus barbatus,Field1,"CA02601, CA02602, CA02603, CA02604, CA02605, CA02606, CA02607, CA02609, CA02610, CA02611, CA02613, CA02614, CA02700, CA02615, CA02617, CA02619, CA02620, CA02621, CA02623, CA02624, CA02625, CA02626, CA02627, CA02628, CA02630, CA02631, CA02632, CA02633, CA02634, CA02636, CA02637, CA02638, CA02639, CA02640, CA02643",35,2
Bacan,Indonesia,,,-0.718578,127.650132,yes,High(80),,"-0.622454,127.537522,BACAN|Unavailable|Unavailable|High(80)",,Hypsipetes chloris,NHMUK,"1969.27.329, 1969.27.330, 1969.27.331, 1969.27.332, 1969.27.334, 1969.27.335, uncatalogued1, 1969.41.1037",8,4
Bacan,Indonesia,,,-0.718578,127.650132,no,High(80),unavailable,"-0.622454,127.537522,BACAN|Unavailable|Unavailable|High(80)",,Hypsipetes chloris,SNMB,"N43298, N43296",2,4
Bacan,Indonesia,,,-0.718578,127.650132,no,High(80),unavailable,"-0.622454,127.537522,BACAN|Unavailable|Unavailable|High(80)",,Hypsipetes chloris,ZMB,27/77,1,4
"Bahagian Song, Lanjak Entimau Wildlife Sanctuary at Nanga Joh",Malaysia,,,1.474357,112.10608,yes,Low(34),Unavailable,"2.016667,112.55,SONG|Unavailable|Unavailable|Low(34),1.833333,112.666667,SONG|Unavailable|Unavailable|Low(34),2.0167,112.5333,SONG|Unavailable|Unavailable|Low(34),1.5734,103.7942,JOH|Unavailable|Unavailable|Low(33),2.7175,102.2387,BAHAGIA|Unavailable|Unavailable|Low(24)",,Alophoixus tephrogenys,"Louisiana State University, Museum of Natural Science",198349,1,3
Baie d'Antongil,Madagascar,,,-15.675748,49.961228,yes,,,,,Hypsipetes madagascariensis,Museums Victoria,B25486,1,3
