"","Common.name","area_square_miles","Estimate","Lower","Upper","Scientific.name","Order","Family","X95..Lower.CI","Abundance.estimate","X95..Upper.CI","Range.adjusted","Training.species"
"4538","Pale-billed Hornbill",755856.783,NA,NA,NA,"Lophoceros pallidirostris","Bucerotiformes","Bucerotidae (Hornbills)",5029,476469,46226428,TRUE,FALSE
"4539","Pale-billed Hornero",33810.9336,"X","X","X","Furnarius torridus","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",664,65174,5519813,FALSE,FALSE
"4540","Pale-billed Parrotbill",78927.35423,NA,NA,NA,"Chleuasicus atrosuperciliaris","Passeriformes","Paradoxornithidae (Parrotbills, Wrentit, and Allies)",1736,155198,14296911,FALSE,FALSE
"4541","Pale-billed Scrubwren",109343.3728,NA,NA,NA,"Sericornis spilodera","Passeriformes","Acanthizidae (Thornbills and Allies)",745,66264,6024246,TRUE,FALSE
"4542","Pale-billed Woodpecker",343186.2361,NA,NA,NA,"Campephilus guatemalensis","Piciformes","Picidae (Woodpeckers)",7362,675266,64548060,FALSE,FALSE
"4543","Pale-blue Monarch",72110.99139,NA,NA,NA,"Hypothymis puella","Passeriformes","Monarchidae (Monarch Flycatchers)",5432,534687,50162840,TRUE,FALSE
"4544","Pale-breasted Illadopsis",783445.4054,NA,NA,NA,"Illadopsis rufipennis","Passeriformes","Pellorneidae (Ground Babblers and Allies)",6547,629939,56824986,TRUE,FALSE
"4545","Pale-breasted Spinetail",3819243.928,NA,NA,NA,"Synallaxis albescens","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",47860,4399242,401203982,TRUE,FALSE
"4546","Pale-breasted Thrush",2969290.881,NA,NA,NA,"Turdus leucomelas","Passeriformes","Turdidae (Thrushes and Allies)",104841,10228817,957635153,TRUE,FALSE
"4547","Pale-browed Treehunter",57269.69464,"X","X","X","Cichlocolaptes leucophrus","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",4164,350085,37384583,FALSE,FALSE
"4548","Pale-capped Pigeon",73492.6551,NA,NA,NA,"Columba punicea","Columbiformes","Columbidae (Pigeons and Doves)",2982,263371,25460592,FALSE,FALSE
"4549","Pale-chinned Blue Flycatcher",188967.157,NA,NA,NA,"Cyornis poliogenys","Passeriformes","Muscicapidae (Old World Flycatchers)",3313,321393,31954625,FALSE,FALSE
"4550","Pale-crested Woodpecker",324912.7027,NA,NA,NA,"Celeus lugubris","Piciformes","Picidae (Woodpeckers)",2170,199123,17806181,TRUE,FALSE
"4551","Pale-crowned Cisticola",436470.5384,NA,NA,NA,"Cisticola cinnamomeus","Passeriformes","Cisticolidae (Cisticolas and Allies)",2981,270698,25177430,TRUE,FALSE
"4552","Pale-edged Flycatcher",112988.9726,NA,NA,NA,"Myiarchus cephalotes","Passeriformes","Tyrannidae (Tyrant Flycatchers)",3889,317998,30429330,FALSE,FALSE
"4553","Pale-eyed Blackbird",3741.518988,NA,NA,NA,"Agelasticus xanthophthalmus","Passeriformes","Icteridae (Troupials and Allies)",533,56589,4617742,FALSE,FALSE
"4554","Pale-eyed Thrush",189233.13,NA,NA,NA,"Turdus leucops","Passeriformes","Turdidae (Thrushes and Allies)",1250,106103,10460842,FALSE,FALSE
"4555","Pale-faced Bare-eye",90526.43879,NA,NA,NA,"Phlegopsis borbae","Passeriformes","Thamnophilidae (Typical Antbirds)",462,41760,3973918,FALSE,FALSE
"4556","Pale-footed Swallow",49364.20448,NA,NA,NA,"Orochelidon flavipes","Passeriformes","Hirundinidae (Swallows)",4097,398322,35564161,FALSE,FALSE
"4557","Pale-fronted Nigrita",1021390.096,NA,NA,NA,"Nigrita luteifrons","Passeriformes","Estrildidae (Waxbills and Allies)",9726,846888,72324581,TRUE,FALSE
"4558","Pale-headed Brushfinch",0.377802089,"226","","","Atlapetes pallidiceps","Passeriformes","Passerellidae (New World Sparrows)",0,24,2468,TRUE,FALSE
"4559","Pale-headed Jacamar",51675.78158,"X","X","X","Brachygalba goeringi","Galbuliformes","Galbulidae (Jacamars)",1314,118507,11160234,FALSE,FALSE
"4560","Pale-headed Munia",87353.5247,NA,NA,NA,"Lonchura pallida","Passeriformes","Estrildidae (Waxbills and Allies)",22956,1880902,142035759,TRUE,FALSE
"4561","Pale-headed Rosella",565966.7832,NA,NA,NA,"Platycercus adscitus","Psittaciformes","Psittaculidae (Old World Parrots)",15513,1388756,131043297,TRUE,FALSE
"4562","Pale-headed Woodpecker",289692.9886,NA,NA,NA,"Gecinulus grantia","Piciformes","Picidae (Woodpeckers)",980,98955,8600696,TRUE,FALSE
"4563","Pale-legged Hornero",1846745.905,NA,NA,NA,"Furnarius leucopus","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",80620,7096482,622204616,TRUE,FALSE
"4564","Pale-legged Warbler",62750.71539,NA,NA,NA,"Myiothlypis signata","Passeriformes","Parulidae (New World Warblers)",3187,286866,26065043,FALSE,FALSE
"4565","Pale-naped Brushfinch",37828.11152,NA,NA,NA,"Atlapetes pallidinucha","Passeriformes","Passerellidae (New World Sparrows)",3826,356659,33828141,FALSE,FALSE
"4566","Pale-rumped Swift",678253.0719,NA,NA,NA,"Chaetura egregia","Caprimulgiformes","Apodidae (Swifts)",20060,1849774,144064850,TRUE,FALSE
"4567","Pale-tailed Barbthroat",2024238.162,NA,NA,NA,"Threnetes leucurus","Caprimulgiformes","Trochilidae (Hummingbirds)",5262,478932,42454077,TRUE,FALSE
"4568","Pale-throated Pampa-Finch",33265.88424,"X","X","X","Embernagra longicauda","Passeriformes","Thraupidae (Tanagers and Allies)",3362,289271,27170836,FALSE,FALSE
"4569","Pale-throated Wren-Babbler",613.4076002,NA,NA,NA,"Spelaeornis kinneari","Passeriformes","Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",8,683,64268,TRUE,FALSE
"4570","Pale-tipped Tyrannulet",230610.8412,NA,NA,NA,"Inezia caudata","Passeriformes","Tyrannidae (Tyrant Flycatchers)",7662,680388,54436791,FALSE,FALSE
"4571","Pale-vented Thrush",64409.30839,NA,NA,NA,"Turdus obsoletus","Passeriformes","Turdidae (Thrushes and Allies)",1813,151359,14412171,FALSE,FALSE
"4572","Pale-winged Starling",379963.9437,NA,NA,NA,"Onychognathus nabouroup","Passeriformes","Sturnidae (Starlings)",27219,2454578,224772525,TRUE,FALSE
"4573","Pale-winged Trumpeter",591730.1609,NA,NA,NA,"Psophia leucoptera","Gruiformes","Psophiidae (Trumpeters)",1293,115564,9500382,TRUE,FALSE
"4574","Pale-yellow Robin",60025.67626,NA,NA,NA,"Tregellasia capito","Passeriformes","Petroicidae (Australasian Robins)",4636,404875,36798128,TRUE,FALSE
"4575","Palestine Sunbird",219653.4342,NA,NA,NA,"Cinnyris osea","Passeriformes","Nectariniidae (Sunbirds and Spiderhunters)",23583,2083299,161633721,TRUE,FALSE
"4576","Palila",51.96674249,"1750","1000","2499","Loxioides bailleui","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)",9,745,63759,TRUE,TRUE
"4577","Pallas's Rosefinch",514807.9063,NA,NA,NA,"Carpodacus roseus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)",13705,1124192,88021111,FALSE,FALSE
"4578","Pallas's Sandgrouse",2383106.834,NA,NA,NA,"Syrrhaptes paradoxus","Pterocliformes","Pteroclidae (Sandgrouse)",27336,2679554,234730441,TRUE,FALSE
"4579","Pallid Dove",45287.81682,"X","X","X","Leptotila pallida","Columbiformes","Columbidae (Pigeons and Doves)",1951,176956,14599742,TRUE,FALSE
"4580","Pallid Honeyguide",575170.0368,NA,NA,NA,"Indicator meliphilus","Piciformes","Indicatoridae (Honeyguides)",1858,185175,17594611,TRUE,FALSE
"4581","Pallid Scops-Owl",54442.05542,NA,NA,NA,"Otus brucei","Strigiformes","Strigidae (Owls)",3262,307138,29139014,TRUE,FALSE
"4582","Pallid Spinetail",267992.342,NA,NA,NA,"Cranioleuca pallida","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",6433,596224,55356207,FALSE,FALSE
"4583","Pallid Swift",134780.2959,NA,NA,NA,"Apus pallidus","Caprimulgiformes","Apodidae (Swifts)",225068,18053779,1472159032,TRUE,FALSE
"4584","Palm Cockatoo",276488.4535,NA,NA,NA,"Probosciger aterrimus","Psittaciformes","Cacatuidae (Cockatoos)",2677,236012,20365847,TRUE,FALSE
"4585","Palm Crow",12449.94774,NA,NA,NA,"Corvus palmarum","Passeriformes","Corvidae (Crows, Jays, and Magpies)",6717,610206,58751111,FALSE,FALSE
"4586","Palm Lorikeet",4289.4552,NA,NA,NA,"Charmosyna palmarum","Psittaciformes","Psittaculidae (Old World Parrots)",286,24732,1977344,TRUE,TRUE
"4587","Palm-nut Vulture",3751189.312,NA,NA,NA,"Gypohierax angolensis","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",20830,1979205,174734795,TRUE,FALSE
"4588","Palmchat",28922.4154,"X","X","X","Dulus dominicus","Passeriformes","Dulidae (Palmchat)",14014,1122335,88037578,FALSE,FALSE
"4589","Pampas Meadowlark",2736.221003,NA,NA,NA,"Leistes defilippii","Passeriformes","Icteridae (Troupials and Allies)",634,57117,5074453,FALSE,FALSE
"4590","Pampas Pipit",239817.6851,NA,NA,NA,"Anthus chacoensis","Passeriformes","Motacillidae (Wagtails and Pipits)",1250,115085,10476944,FALSE,FALSE
"4591","Panama Flycatcher",143190.329,NA,NA,NA,"Myiarchus panamensis","Passeriformes","Tyrannidae (Tyrant Flycatchers)",3222,308350,29522997,FALSE,FALSE
"4592","Panay Striped-Babbler",110.0731249,"X","X","X","Zosterornis latistriatus","Passeriformes","Zosteropidae (White-eyes, Yuhinas, and Allies)",0,11,991,TRUE,FALSE
"4593","Pangani Longclaw",145036.5105,NA,NA,NA,"Macronyx aurantiigula","Passeriformes","Motacillidae (Wagtails and Pipits)",555,54790,4396682,TRUE,FALSE
"4594","Paperbark Flycatcher",434417.1965,NA,NA,NA,"Myiagra nana","Passeriformes","Monarchidae (Monarch Flycatchers)",22655,1816826,186599568,TRUE,FALSE
"4595","Papuan Black Myzomela",64142.02234,NA,NA,NA,"Myzomela nigrita","Passeriformes","Meliphagidae (Honeyeaters)",1581,155435,13257036,TRUE,FALSE
"4596","Papuan Boobook",230275.6578,NA,NA,NA,"Ninox theomacha","Strigiformes","Strigidae (Owls)",1063,113279,10643620,TRUE,FALSE
"4597","Papuan Cicadabird",134453.7005,NA,NA,NA,"Edolisoma incertum","Passeriformes","Campephagidae (Cuckooshrikes)",1088,103615,9539619,TRUE,FALSE
"4598","Papuan Dwarf-Kingfisher",265291.4249,NA,NA,NA,"Ceyx solitarius","Coraciiformes","Alcedinidae (Kingfishers)",3106,301152,23926633,TRUE,FALSE
"4599","Papuan Frogmouth",370001.1071,NA,NA,NA,"Podargus papuensis","Caprimulgiformes","Podargidae (Frogmouths)",7218,639752,54897831,TRUE,FALSE
"4600","Papuan Hanging-Parrot",221614.9665,NA,NA,NA,"Loriculus aurantiifrons","Psittaciformes","Psittaculidae (Old World Parrots)",959,91031,8469908,TRUE,FALSE
"4601","Papuan King-Parrot",125055.9499,NA,NA,NA,"Alisterus chloropterus","Psittaciformes","Psittaculidae (Old World Parrots)",957,89156,8647764,TRUE,FALSE
"4602","Papuan Logrunner",25246.64914,NA,NA,NA,"Orthonyx novaeguineae","Passeriformes","Orthonychidae (Logrunners)",557,52001,4475225,TRUE,FALSE
"4603","Papuan Lorikeet",3687.511482,NA,NA,NA,"Charmosyna papou","Psittaciformes","Psittaculidae (Old World Parrots)",36,3545,316343,TRUE,FALSE
"4604","Papuan Mountain-Pigeon",206857.5716,NA,NA,NA,"Gymnophaps albertisii","Columbiformes","Columbidae (Pigeons and Doves)",11752,929469,79398090,TRUE,FALSE
"4605","Papuan Nightjar",194154.6935,NA,NA,NA,"Eurostopodus papuensis","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)",1570,154249,14921414,TRUE,FALSE
"4606","Papuan Owl",69975.93314,NA,NA,NA,"Uroglaux dimorpha","Strigiformes","Strigidae (Owls)",704,65553,5965257,TRUE,FALSE
"4607","Papuan Parrotfinch",69588.35597,NA,NA,NA,"Erythrura papuana","Passeriformes","Estrildidae (Waxbills and Allies)",1470,132236,10651933,TRUE,FALSE
"4608","Papuan Pitta",267570.1181,NA,NA,NA,"Erythropitta macklotii","Passeriformes","Pittidae (Pittas)",4579,434519,40110998,TRUE,FALSE
"4609","Papuan Scrub-Robin",161661.8098,NA,NA,NA,"Drymodes beccarii","Passeriformes","Petroicidae (Australasian Robins)",1023,96502,7757623,TRUE,FALSE
"4610","Papuan Scrubwren",33431.09412,"X","X","X","Sericornis papuensis","Passeriformes","Acanthizidae (Thornbills and Allies)",2766,244039,22276263,TRUE,FALSE
"4611","Papuan Spinetailed Swift",185486.3141,NA,NA,NA,"Mearnsia novaeguineae","Caprimulgiformes","Apodidae (Swifts)",6590,692554,66735249,TRUE,FALSE
"4612","Papuan Treecreeper",50869.5748,"X","X","X","Cormobates placens","Passeriformes","Climacteridae (Australasian Treecreepers)",888,81548,6782272,TRUE,FALSE
"4613","Papuan Whipbird",20623.93335,"X","X","X","Androphobus viridis","Passeriformes","Psophodidae (Whipbirds and Wedgebills)",153,13035,1199469,TRUE,FALSE
"4614","Papyrus Canary",21086.50282,"X","X","X","Crithagra koliensis","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)",50,4426,372950,TRUE,FALSE
"4615","Papyrus Gonolek",38209.03156,"2000000","","","Laniarius mufumbiri","Passeriformes","Malaconotidae (Bushshrikes and Allies)",1150,109988,9465921,TRUE,FALSE
"4616","Papyrus Yellow-Warbler",26953.56396,NA,NA,NA,"Calamonastides gracilirostris","Passeriformes","Acrocephalidae (Reed Warblers and Allies)",661,62208,5662169,TRUE,FALSE
"4617","Para Foliage-gleaner",642647.1375,NA,NA,NA,"Automolus paraensis","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",4011,391429,37299498,TRUE,FALSE
"4618","Paradise Jacamar",2287218.72,NA,NA,NA,"Galbula dea","Galbuliformes","Galbulidae (Jacamars)",21227,1896439,162936758,TRUE,FALSE
"4619","Paradise Shelduck",103792.8578,NA,NA,NA,"Tadorna variegata","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",34399,2863406,221568288,FALSE,FALSE
"4620","Paradise Tanager",1774045.35,NA,NA,NA,"Tangara chilensis","Passeriformes","Thraupidae (Tanagers and Allies)",47076,4330512,417197824,TRUE,FALSE
"4621","Paradise-crow",8800.190095,"","","","Lycocorax pyrrhopterus","Passeriformes","Paradisaeidae (Birds-of-Paradise)",82,7553,737987,TRUE,FALSE
"4622","Parakeet Auklet",88095.68827,NA,NA,NA,"Aethia psittacula","Charadriiformes","Alcidae (Auks, Murres, and Puffins)",71446,6593384,530366174,FALSE,FALSE
"4623","Paramillo Tapaculo",362.8663983,"625","250","999","Scytalopus canus","Passeriformes","Rhinocryptidae (Tapaculos)",0,4,381,TRUE,TRUE
"4624","Paramo Pipit",129742.7572,NA,NA,NA,"Anthus bogotensis","Passeriformes","Motacillidae (Wagtails and Pipits)",1359,128437,11924099,FALSE,FALSE
"4625","Paramo Seedeater",109621.0036,NA,NA,NA,"Catamenia homochroa","Passeriformes","Thraupidae (Tanagers and Allies)",1559,134805,13414771,FALSE,FALSE
"4626","Paramo Tapaculo",27754.27021,"X","X","X","Scytalopus opacus","Passeriformes","Rhinocryptidae (Tapaculos)",914,84685,8047064,FALSE,FALSE
"4627","Parasitic Weaver",706168.7148,NA,NA,NA,"Anomalospiza imberbis","Passeriformes","Viduidae (Indigobirds)",3529,325546,30293460,FALSE,FALSE
"4628","Pardusco",6730.537927,"X","X","X","Nephelornis oneilli","Passeriformes","Thraupidae (Tanagers and Allies)",9,862,80433,TRUE,FALSE
"4629","Parker's Antbird",23424.83066,NA,NA,NA,"Cercomacroides parkeri","Passeriformes","Thamnophilidae (Typical Antbirds)",42,3861,372303,TRUE,FALSE
"4630","Parker's Spinetail",131450.8791,NA,NA,NA,"Cranioleuca vulpecula","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",7920,799288,67221289,FALSE,FALSE
"4631","Parkinson's Petrel",15232893.07,NA,NA,NA,"Procellaria parkinsoni","Procellariiformes","Procellariidae (Shearwaters and Petrels)",31199,3064354,273949468,FALSE,FALSE
"4632","Parodi's Hemispingus",11066.13196,NA,NA,NA,"Kleinothraupis parodii","Passeriformes","Thraupidae (Tanagers and Allies)",27,2612,258436,TRUE,FALSE
"4633","Parrot Crossbill",1218256.906,NA,NA,NA,"Loxia pytyopsittacus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)",5403,476411,42241517,TRUE,FALSE
"4634","Parrot-billed Seedeater",39539.86492,"X","X","X","Sporophila peruviana","Passeriformes","Thraupidae (Tanagers and Allies)",17896,1550689,143416251,TRUE,FALSE
"4635","Parrot-billed Sparrow",434476.9926,NA,NA,NA,"Passer gongonensis","Passeriformes","Passeridae (Old World Sparrows)",4378,409480,40581980,TRUE,FALSE
"4636","Partridge Pigeon",18186.433,NA,NA,NA,"Geophaps smithii","Columbiformes","Columbidae (Pigeons and Doves)",1746,146877,12672204,FALSE,FALSE
"4637","Patagonian Canastero",226132.817,NA,NA,NA,"Pseudasthenes patagonica","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",6489,631133,57575023,FALSE,FALSE
"4638","Patagonian Forest Earthcreeper",47028.33713,NA,NA,NA,"Upucerthia saturatior","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",847,82806,7509916,FALSE,FALSE
"4639","Patagonian Mockingbird",540741.6305,NA,NA,NA,"Mimus patagonicus","Passeriformes","Mimidae (Mockingbirds and Thrashers)",44320,3780208,321546938,FALSE,FALSE
"4640","Patagonian Sierra-Finch",207418.417,NA,NA,NA,"Phrygilus patagonicus","Passeriformes","Thraupidae (Tanagers and Allies)",17423,1602452,168686028,TRUE,FALSE
"4641","Patagonian Tinamou",155881.6426,NA,NA,NA,"Tinamotis ingoufi","Tinamiformes","Tinamidae (Tinamous)",2050,171597,15504123,FALSE,FALSE
"4642","Patagonian Tyrant",150418.4131,NA,NA,NA,"Colorhamphus parvirostris","Passeriformes","Tyrannidae (Tyrant Flycatchers)",7068,591785,63955919,TRUE,FALSE
"4643","Patagonian Yellow-Finch",161615.2195,NA,NA,NA,"Sicalis lebruni","Passeriformes","Thraupidae (Tanagers and Allies)",7069,640040,54917014,FALSE,FALSE
"4644","Pavonine Cuckoo",1197166.885,NA,NA,NA,"Dromococcyx pavoninus","Cuculiformes","Cuculidae (Cuckoos)",5689,548376,51824578,TRUE,FALSE
"4645","Pavonine Quetzal",1452024.845,NA,NA,NA,"Pharomachrus pavoninus","Trogoniformes","Trogonidae (Trogons)",2584,240286,23367395,TRUE,FALSE
"4646","Peaceful Dove",2151599.711,NA,NA,NA,"Geopelia placida","Columbiformes","Columbidae (Pigeons and Doves)",91973,8802036,740199562,TRUE,FALSE
"4647","Peach-fronted Parakeet",2225772.823,NA,NA,NA,"Eupsittula aurea","Psittaciformes","Psittacidae (New World and African Parrots)",84762,8036076,787812510,TRUE,FALSE
"4648","Peacock Coquette",79430.83358,NA,NA,NA,"Lophornis pavoninus","Caprimulgiformes","Trochilidae (Hummingbirds)",5,465,40522,FALSE,FALSE
"4649","Peale's Imperial-Pigeon",6967.328304,"X","X","X","Ducula latrans","Columbiformes","Columbidae (Pigeons and Doves)",6813,606904,49932286,TRUE,FALSE
"4650","Pearl Kite",3963758.578,NA,NA,NA,"Gampsonyx swainsonii","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",12154,1087603,106380803,TRUE,FALSE
"4651","Pearl-breasted Swallow",1335052.338,NA,NA,NA,"Hirundo dimidiata","Passeriformes","Hirundinidae (Swallows)",10198,954388,93239021,TRUE,FALSE
"4652","Pearl-spotted Owlet",4603630.067,NA,NA,NA,"Glaucidium perlatum","Strigiformes","Strigidae (Owls)",19289,1966921,192842904,TRUE,FALSE
"4653","Pearled Treerunner",181321.4056,NA,NA,NA,"Margarornis squamiger","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",6972,618829,59935190,FALSE,FALSE
"4654","Pearly Antshrike",746612.8207,NA,NA,NA,"Megastictus margaritatus","Passeriformes","Thamnophilidae (Typical Antbirds)",2878,241912,20064308,TRUE,FALSE
"4655","Pearly Parakeet",211733.6338,NA,NA,NA,"Pyrrhura lepida","Psittaciformes","Psittacidae (New World and African Parrots)",4539,441657,37820762,FALSE,FALSE
"4656","Pearly-bellied Seedeater",561149.7873,NA,NA,NA,"Sporophila pileata","Passeriformes","Thraupidae (Tanagers and Allies)",8701,871982,75449296,FALSE,FALSE
"4657","Pearly-breasted Conebill",29972.9884,NA,NA,NA,"Conirostrum margaritae","Passeriformes","Thraupidae (Tanagers and Allies)",2653,233382,20395557,FALSE,FALSE
"4658","Pearly-breasted Cuckoo",3488999.393,NA,NA,NA,"Coccyzus euleri","Cuculiformes","Cuculidae (Cuckoos)",8877,853901,83524898,TRUE,FALSE
"4659","Pearly-eyed Thrasher",7950.978141,NA,NA,NA,"Margarops fuscatus","Passeriformes","Mimidae (Mockingbirds and Thrashers)",188,17834,1399807,TRUE,FALSE
"4660","Pearly-vented Tody-Tyrant",2243007.313,NA,NA,NA,"Hemitriccus margaritaceiventer","Passeriformes","Tyrannidae (Tyrant Flycatchers)",53930,5346152,486662250,TRUE,FALSE
"4661","Pectoral Antwren",85821.02565,NA,NA,NA,"Herpsilochmus pectoralis","Passeriformes","Thamnophilidae (Typical Antbirds)",2043,187185,17014305,FALSE,FALSE
"4662","Pectoral Sparrow",2608295.219,NA,NA,NA,"Arremon taciturnus","Passeriformes","Passerellidae (New World Sparrows)",32783,3015750,296804499,TRUE,FALSE
"4663","Pectoral-patch Cisticola",179685.0148,NA,NA,NA,"Cisticola brunnescens","Passeriformes","Cisticolidae (Cisticolas and Allies)",2287,204750,18791551,TRUE,FALSE
"4664","Pel's Fishing-Owl",1795100.465,NA,NA,NA,"Scotopelia peli","Strigiformes","Strigidae (Owls)",6446,528134,43841915,TRUE,FALSE
"4665","Pelzeln's Tody-Tyrant",13313.29742,"X","X","X","Hemitriccus inornatus","Passeriformes","Tyrannidae (Tyrant Flycatchers)",53,4846,431987,TRUE,FALSE
"4666","Pemba Green-Pigeon",350.6925876,"6250","2500","9999","Treron pembaensis","Columbiformes","Columbidae (Pigeons and Doves)",0,23,2121,TRUE,FALSE
"4667","Pemba Scops-Owl",374.6876758,"3000","","","Otus pembaensis","Strigiformes","Strigidae (Owls)",0,36,3389,TRUE,FALSE
"4668","Pemba Sunbird",374.6781304,NA,NA,NA,"Cinnyris pembae","Passeriformes","Nectariniidae (Sunbirds and Spiderhunters)",1,60,5324,TRUE,FALSE
"4669","Pemba White-eye",374.6781304,"X","X","X","Zosterops vaughani","Passeriformes","Zosteropidae (White-eyes, Yuhinas, and Allies)",1,61,5635,TRUE,FALSE
"4670","Pere David's Tit",21932.2997,NA,NA,NA,"Poecile davidi","Passeriformes","Paridae (Tits, Chickadees, and Titmice)",52,4484,424995,TRUE,FALSE
"4671","Perija Brushfinch",2645.135122,"X","X","X","Arremon perijanus","Passeriformes","Passerellidae (New World Sparrows)",4,377,36284,TRUE,FALSE
"4672","Perija Metaltail",637.444996,NA,NA,NA,"Metallura iracunda","Caprimulgiformes","Trochilidae (Hummingbirds)",1,62,5573,TRUE,FALSE
"4673","Perija Tapaculo",419.8313074,NA,NA,NA,"Scytalopus perijanus","Passeriformes","Rhinocryptidae (Tapaculos)",3,223,23596,TRUE,FALSE
"4674","Pernambuco Foliage-gleaner",24695.99897,"1750","1000","2499","Automolus lammi","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",940,70825,5732505,TRUE,TRUE
"4675","Persian Shearwater",1274582.897,NA,NA,NA,"Puffinus persicus","Procellariiformes","Procellariidae (Shearwaters and Petrels)",12327,1165288,108197861,FALSE,FALSE
"4676","Peruvian Antpitta",8926.548696,"X","X","X","Grallaricula peruviana","Passeriformes","Grallariidae (Antpittas)",2,145,11755,TRUE,FALSE
"4677","Peruvian Booby",88533.74815,NA,NA,NA,"Sula variegata","Suliformes","Sulidae (Boobies and Gannets)",181537,12543267,870239567,TRUE,FALSE
"4678","Peruvian Diving-Petrel",181217.0327,NA,NA,NA,"Pelecanoides garnotii","Procellariiformes","Procellariidae (Shearwaters and Petrels)",5775,622972,52217772,FALSE,FALSE
"4679","Peruvian Martin",51789.99839,"6250","2500","9999","Progne murphyi","Passeriformes","Hirundinidae (Swallows)",3021,286573,27248660,TRUE,FALSE
"4680","Peruvian Meadowlark",135545.7187,NA,NA,NA,"Leistes bellicosus","Passeriformes","Icteridae (Troupials and Allies)",24052,1890666,164266638,TRUE,FALSE
"4681","Peruvian Pelican",141771.8604,NA,NA,NA,"Pelecanus thagus","Pelecaniformes","Pelecanidae (Pelicans)",94084,7693192,600671069,TRUE,FALSE
"4682","Peruvian Pipit",34017.70792,NA,NA,NA,"Anthus peruvianus","Passeriformes","Motacillidae (Wagtails and Pipits)",2829,266419,24867676,TRUE,FALSE
"4683","Peruvian Plantcutter",1106.625466,"6100","2200","9999","Phytotoma raimondii","Passeriformes","Cotingidae (Cotingas)",97,8432,744909,TRUE,TRUE
"4684","Peruvian Pygmy-Owl",129196.4509,NA,NA,NA,"Glaucidium peruanum","Strigiformes","Strigidae (Owls)",5798,508852,41064481,TRUE,FALSE
"4685","Peruvian Recurvebill",110437.3344,NA,NA,NA,"Syndactyla ucayalae","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)",260,21612,1939729,TRUE,FALSE
"4686","Peruvian Screech-Owl",30619.11186,"X","X","X","Megascops roboratus","Strigiformes","Strigidae (Owls)",353,33992,3030103,FALSE,FALSE
"4687","Peruvian Sheartail",66450.16329,NA,NA,NA,"Thaumastura cora","Caprimulgiformes","Trochilidae (Hummingbirds)",10503,904505,78266678,TRUE,FALSE
"4688","Peruvian Sierra-Finch",119580.4712,NA,NA,NA,"Phrygilus punensis","Passeriformes","Thraupidae (Tanagers and Allies)",6558,588296,56267403,FALSE,FALSE
"4689","Peruvian Thick-knee",30773.71746,NA,NA,NA,"Burhinus superciliaris","Charadriiformes","Burhinidae (Thick-knees)",12191,1093802,104657490,TRUE,FALSE
"4690","Peruvian Tyrannulet",34386.06395,"X","X","X","Zimmerius viridiflavus","Passeriformes","Tyrannidae (Tyrant Flycatchers)",2228,221935,20932570,FALSE,FALSE
"4691","Peruvian Warbling-Antbird",728517.5336,NA,NA,NA,"Hypocnemis peruviana","Passeriformes","Thamnophilidae (Typical Antbirds)",19958,1783316,152202197,FALSE,FALSE
"4692","Peruvian Wren",29273.79912,"X","X","X","Cinnycerthia peruana","Passeriformes","Troglodytidae (Wrens)",476,45465,4099651,FALSE,FALSE
"4693","Peters's Twinspot",675285.3389,NA,NA,NA,"Hypargos niveoguttatus","Passeriformes","Estrildidae (Waxbills and Allies)",11994,1067841,105416965,TRUE,FALSE
"4694","Petit's Cuckooshrike",196479.0151,NA,NA,NA,"Campephaga petiti","Passeriformes","Campephagidae (Cuckooshrikes)",4065,371431,34538755,TRUE,FALSE
"4695","Pfrimer's Parakeet",2774.434957,"X","X","X","Pyrrhura pfrimeri","Psittaciformes","Psittacidae (New World and African Parrots)",16,1631,152372,TRUE,FALSE
"4696","Phainopepla",378760.4257,NA,NA,NA,"Phainopepla nitens","Passeriformes","Ptiliogonatidae (Silky-flycatchers)",23416,1434999,84099156,FALSE,TRUE
"4697","Pharaoh Eagle-Owl",1230461.182,NA,NA,NA,"Bubo ascalaphus","Strigiformes","Strigidae (Owls)",4261,382476,34907960,TRUE,FALSE
