"","Common.name","area_square_miles","Estimate","Lower","Upper","Scientific.name","Order","Family","X95..Lower.CI","Abundance.estimate","X95..Upper.CI","Range.adjusted","Training.species"
"1133","Bornean Stubtail",50860.64164,"X","X","X","Urosphena whiteheadi","Passeriformes","Scotocercidae (Bush Warblers and Allies)",949,93745,8426949,TRUE,FALSE
"1134","Bornean Treepie",65020.88753,NA,NA,NA,"Dendrocitta cinerascens","Passeriformes","Corvidae (Crows, Jays, and Magpies)",6016,540756,47863712,TRUE,FALSE
"1135","Bornean Whistler",32534.56259,"X","X","X","Pachycephala hypoxantha","Passeriformes","Pachycephalidae (Whistlers and Allies)",3335,289549,25102189,TRUE,FALSE
"1136","Bornean Whistling-Thrush",43760.86744,"X","X","X","Myophonus borneensis","Passeriformes","Muscicapidae (Old World Flycatchers)",1260,113404,10374196,TRUE,FALSE
"1137","Bornean Wren-Babbler",233585.5708,NA,NA,NA,"Ptilocichla leucogrammica","Passeriformes","Pellorneidae (Ground Babblers and Allies)",932,88236,7881669,TRUE,FALSE
"1138","Botha's Lark",21384.45034,"1750","1000","2499","Spizocorys fringillaris","Passeriformes","Alaudidae (Larks)",27,2412,209050,TRUE,TRUE
"1139","Botteri's Sparrow",385450.4009,NA,NA,NA,"Peucaea botterii","Passeriformes","Passerellidae (New World Sparrows)",1772,151966,13557674,FALSE,TRUE
"1140","Boucard's Wren",34673.84879,NA,NA,NA,"Campylorhynchus jocosus","Passeriformes","Troglodytidae (Wrens)",561,53924,4424960,FALSE,FALSE
"1141","Boulder Chat",82415.13226,NA,NA,NA,"Pinarornis plumosus","Passeriformes","Muscicapidae (Old World Flycatchers)",938,85280,7845963,FALSE,FALSE
"1142","Bower's Shrikethrush",11962.60071,"X","X","X","Colluricincla boweri","Passeriformes","Pachycephalidae (Whistlers and Allies)",872,79176,7622644,TRUE,FALSE
"1143","Boyer's Cuckooshrike",233388.9643,NA,NA,NA,"Coracina boyeri","Passeriformes","Campephagidae (Cuckooshrikes)",5927,527969,45179280,TRUE,FALSE
"1144","Bradfield's Swift",340672.4935,NA,NA,NA,"Apus bradfieldi","Caprimulgiformes","Apodidae (Swifts)",23864,2093530,175467856,TRUE,FALSE
"1145","Brahminy Kite",3413280.774,NA,NA,NA,"Haliastur indus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",139196,12222714,1047027486,TRUE,FALSE
"1146","Brahminy Starling",1199131.84,NA,NA,NA,"Sturnia pagodarum","Passeriformes","Sturnidae (Starlings)",76453,6695875,526687319,TRUE,FALSE
"1147","Brambling",50637.27494,"160000000","120000000","199999999","Fringilla montifringilla","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)",476065,38063448,2919817669,TRUE,FALSE
"1148","Bran-colored Flycatcher",3867782.35,NA,NA,NA,"Myiophobus fasciatus","Passeriformes","Tyrannidae (Tyrant Flycatchers)",37095,3762338,335817570,TRUE,FALSE
"1149","Brasilia Tapaculo",45768.36805,"X","X","X","Scytalopus novacapitalis","Passeriformes","Rhinocryptidae (Tapaculos)",363,35217,2814503,FALSE,FALSE
"1150","Brassy-breasted Tanager",100565.6432,NA,NA,NA,"Tangara desmaresti","Passeriformes","Thraupidae (Tanagers and Allies)",8604,832283,72574028,FALSE,FALSE
"1151","Brazilian Merganser",19795.61283,"150","50","249","Mergus octosetaceus","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",159,14018,1365649,FALSE,TRUE
"1152","Brazilian Ruby",136196.3065,NA,NA,NA,"Clytolaema rubricauda","Caprimulgiformes","Trochilidae (Hummingbirds)",5445,484615,42190379,FALSE,FALSE
"1153","Brazilian Tanager",145799.3314,NA,NA,NA,"Ramphocelus bresilius","Passeriformes","Thraupidae (Tanagers and Allies)",14201,1303930,121055490,FALSE,FALSE
"1154","Brazilian Teal",3377420.365,NA,NA,NA,"Amazonetta brasiliensis","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",72900,6231027,565318822,TRUE,FALSE
"1155","Brazilian Tinamou",999992.8367,NA,NA,NA,"Crypturellus strigulosus","Tinamiformes","Tinamidae (Tinamous)",5620,566280,49710359,TRUE,FALSE
"1156","Brehm's Tiger-Parrot",47701.35602,"X","X","X","Psittacella brehmii","Psittaciformes","Psittaculidae (Old World Parrots)",3460,319510,30534397,TRUE,FALSE
"1157","Brewer's Blackbird",629290.4479,NA,NA,NA,"Euphagus cyanocephalus","Passeriformes","Icteridae (Troupials and Allies)",11967016,109369835,925122368,TRUE,TRUE
"1158","Brewer's Sparrow",55702.20038,NA,NA,NA,"Spizella breweri","Passeriformes","Passerellidae (New World Sparrows)",564967,23406889,979932685,FALSE,TRUE
"1159","Bridled Honeyeater",22457.38943,"X","X","X","Bolemoreus frenatus","Passeriformes","Meliphagidae (Honeyeaters)",795,72135,6636368,FALSE,FALSE
"1160","Bridled Sparrow",20308.22204,NA,NA,NA,"Peucaea mystacalis","Passeriformes","Passerellidae (New World Sparrows)",137,12426,1078406,TRUE,FALSE
"1161","Bridled Titmouse",205444.6393,NA,NA,NA,"Baeolophus wollweberi","Passeriformes","Paridae (Tits, Chickadees, and Titmice)",2509,216597,17852441,FALSE,TRUE
"1162","Bright-rumped Attila",3127399.118,NA,NA,NA,"Attila spadiceus","Passeriformes","Tyrannidae (Tyrant Flycatchers)",50091,4352922,383273154,TRUE,FALSE
"1163","Brimstone Canary",721685.5371,NA,NA,NA,"Crithagra sulphurata","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)",14197,1201407,98716184,TRUE,FALSE
"1164","Bristle-crowned Starling",249686.7465,NA,NA,NA,"Onychognathus salvadorii","Passeriformes","Sturnidae (Starlings)",2425,225660,21668046,TRUE,FALSE
"1165","Bristle-nosed Barbet",521598.1646,NA,NA,NA,"Gymnobucco peli","Piciformes","Lybiidae (African Barbets)",3175,308993,28378501,TRUE,FALSE
"1166","Bristled Grassbird",44805.04669,"6250","2500","9999","Chaetornis striata","Passeriformes","Locustellidae (Grassbirds and Allies)",4122,377667,36039912,TRUE,TRUE
"1167","Broad-billed Fairywren",72747.34482,NA,NA,NA,"Chenorhamphus grayi","Passeriformes","Maluridae (Fairywrens)",122,11382,1021939,TRUE,FALSE
"1168","Broad-billed Hummingbird",163379.94,NA,NA,NA,"Cynanthus latirostris","Caprimulgiformes","Trochilidae (Hummingbirds)",90646,5783559,420927506,FALSE,TRUE
"1169","Broad-billed Prion",19614433.17,NA,NA,NA,"Pachyptila vittata","Procellariiformes","Procellariidae (Shearwaters and Petrels)",12030,899041,70742867,FALSE,FALSE
"1170","Broad-billed Roller",5131283.424,NA,NA,NA,"Eurystomus glaucurus","Coraciiformes","Coraciidae (Rollers)",97859,9595960,910931698,TRUE,FALSE
"1171","Broad-billed Tody",28880.17409,"X","X","X","Todus subulatus","Coraciiformes","Todidae (Todies)",5405,448985,38375773,FALSE,FALSE
"1172","Broad-billed Warbler",237859.8655,NA,NA,NA,"Tickellia hodgsoni","Passeriformes","Scotocercidae (Bush Warblers and Allies)",705,62709,5674604,TRUE,FALSE
"1173","Broad-ringed White-eye",125430.604,NA,NA,NA,"Zosterops poliogastrus","Passeriformes","Zosteropidae (White-eyes, Yuhinas, and Allies)",11663,1042787,86203361,TRUE,FALSE
"1174","Broad-tailed Grassbird",15367.35711,NA,NA,NA,"Schoenicola platyurus","Passeriformes","Locustellidae (Grassbirds and Allies)",4,436,36739,TRUE,FALSE
"1175","Broad-tailed Paradise-Whydah",1251898.574,NA,NA,NA,"Vidua obtusa","Passeriformes","Viduidae (Indigobirds)",4942,520282,47509829,TRUE,FALSE
