,Var1,Freq,
137,Pycnonotus plumosus,13,
138,Pycnonotus pseudosimplex,1,Not available
139,Pycnonotus simplex,11,
140,Pycnonotus sinensis,30,
141,Pycnonotus snouckaerti,1,"Not available, extremely rare"
142,Pycnonotus taivanus,2,No more available
143,Pycnonotus tympanistrigus,2,No more available
144,Pycnonotus xantholaemus,9,No more available
145,Pycnonotus xanthopygos,21,
146,Pycnonotus xanthorrhous,11,
147,Pycnonotus zeylanicus,11,
148,Rubigula cyaniventris,17,
149,Rubigula dispar,10,
150,Rubigula erythropthalmos,8,Check later
151,Rubigula flaviventris,16,
152,Rubigula gularis,10,
153,Rubigula melanictera,11,
154,Rubigula montis,10,
155,Rubigula squamata,20,
156,Setornis criniger,10,M-F beak difference
157,Spizixos canifrons,12,
158,Spizixos semitorques,20,
159,Stelgidillas gracilirostris,18,
160,Thescelocichla leucopleura,10,
161,Tricholestes criniger,16,
