LocalityString,Country,State,County,Lat,Lon,Correction Status,Precision,Error Polygon,Error Polygon (circular polygon),Multiplot,AviList,Source,Specimen.number,n_specimens,Code
Altos de Nsork National Park,Equatorial Guinea,,,1.129846,11.266032,no,Low(35),unavailable,"1.129846,11.266032,NSORK|Unavailable|Unavailable|Low(35)",,"Bleda notatus, Bleda syndactylus, Eurillas latirostris",Field1,"1_NA_1315, 1_NA_1330, 1_NA_1260, 1_NA_1193, 1_NA_1335, 1_NA_1320, 1_NA_1316, 1_NA_1319, 1_NA_1321, 1_NA_1325, 1_NA_1337, 1_NA_1334, 1_NA_1323, 1_NA_1318, 1_NA_1322, 1_NA_1317, 1_NA_1329, 1_NA_1328, 1_NA_1314, 1_NA_1326, 1_NA_1331, 1_NA_1333, 1_NA_1324, 1_NA_1327, 1_NA_1336, 1_NA_1332, 1_NA_1422, 1_NA_1420, 1_NA_1419, 1_NA_1418, 1_NA_1423, 1_NA_1421, 1_NA_4486, 1_NA_4644, 1_NA_4650, 1_NA_4679, 1_NA_4676, 1_NA_4685, 1_NA_4682, 1_NA_4582, 1_NA_4635, 1_NA_4496, 1_NA_4687, 1_NA_4669, 1_NA_4264, 1_NA_4653, 1_NA_4684, 1_NA_4671, 1_NA_4670, 1_NA_4680, 1_NA_4672, 1_NA_4668, 1_NA_4673, 1_NA_4656, 1_NA_4655, 1_NA_4675, 1_NA_4681, 1_NA_4657, 1_NA_4642, 1_NA_4643, 1_NA_4637, 1_NA_4638, 1_NA_4647, 1_NA_4678, 1_NA_4646, 1_NA_4640, 1_NA_4634, 1_NA_4641, 1_NA_4639, 1_NA_4645, 1_NA_4636, 1_NA_4665, 1_NA_4664, 1_NA_4666, 1_NA_4667, 1_NA_4660, 1_NA_4662, 1_NA_4663, 1_NA_4694, 1_NA_4688, 1_NA_4689, 1_NA_4691, 1_NA_4686, 1_NA_4692, 1_NA_4652, 1_NA_4674, 1_NA_4677, 1_NA_4654, 1_NA_4661, 1_NA_4693",90,3
Altos de Nsork National Park,Equatorial Guinea,,,1.129846,11.266032,no,,,,,Eurillas latirostris,Field1,"1_NA_4543, 1_NA_4618, 1_NA_4658",3,3
"Amnat Charoen Province, Chanuman District, Chanuman",Thailand,,,16.233556,105.0005,yes,Low(43),Unavailable,"15.858511,104.628834,AMNAT CHAROEN|Unavailable|Unavailable|Low(43),15.878641,104.642837,AMNAT CHAROEN|Unavailable|Unavailable|Low(43),15.916667,104.75,AMNAT CHAROEN|Unavailable|Unavailable|Low(43),15.916,104.75,AMNAT CHAROEN|Unavailable|Unavailable|Low(43),15.85,104.6333,AMNAT CHAROEN|Unavailable|Unavailable|Low(43),16.233556,105.0005,CHANUMAN|Unavailable|Unavailable|Low(38),15.694762,104.648457,AMNAT|Unavailable|Unavailable|Low(35)",,"Iole propinqua, Pycnonotus conradi",ANSP,"127148, 127149, 127150, 127167",4,2
"Bahagian Song, Lanjak Entimau Wildlife Sanctuary HQ at Nanga Blok",Malaysia,,,1.467226,112.078271,yes,Low(34),,"2.016667,112.55,SONG|Unavailable|Unavailable|Low(34),1.833333,112.666667,SONG|Unavailable|Unavailable|Low(34),2.0167,112.5333,SONG|Unavailable|Unavailable|Low(34),2.7175,102.2387,BAHAGIA|Unavailable|Unavailable|Low(24)",,Alophoixus phaeocephalus,"Louisiana State University, Museum of Natural Science",198351,1,3
"Bahagian Song, Lanjak Entimau Wildlife Sanctuary at Nanga Joh",Malaysia,,,1.467226,112.078271,no,Low(34),unavailable,"2.016667,112.55,SONG|Unavailable|Unavailable|Low(34),1.833333,112.666667,SONG|Unavailable|Unavailable|Low(34),2.0167,112.5333,SONG|Unavailable|Unavailable|Low(34),1.5734,103.7942,JOH|Unavailable|Unavailable|Low(33),2.7175,102.2387,BAHAGIA|Unavailable|Unavailable|Low(24)",,Alophoixus phaeocephalus,"Louisiana State University, Museum of Natural Science",198352,1,3
"Baisha Li Autonomous County, Hainan",China,,,19.230556,109.4475,yes,Low(36),Unavailable,"27.788646,102.307174,HAINAN|Unavailable|Unavailable|Low(36),22.853333,113.657158,BAISHA|Unavailable|Unavailable|Low(36),23.573921,111.858467,BAISHA|Unavailable|Unavailable|Low(36),23.809486,111.801023,BAISHA|Unavailable|Unavailable|Low(36),19.230556,109.4475,BAISHA|Unavailable|Unavailable|Low(36),19.178794,109.449519,BAISHA|Unavailable|Unavailable|Low(36),30.464995,104.14923,BAISHA|Unavailable|Unavailable|Low(36),23.344292,113.367413,BAISHA|Unavailable|Unavailable|Low(36),21.15,110.533333,BAISHA|Unavailable|Unavailable|Low(36),23.920145,113.552516,BAISHA|Unavailable|Unavailable|Low(36),27.6625,110.195,BAISHA|Unavailable|Unavailable|Low(36),26.355,111.150278,BAISHA|Unavailable|Unavailable|Low(36),21.449244,110.914705,BAISHA|Unavailable|Unavailable|Low(36),21.790274,110.561474,BAISHA|Unavailable|Unavailable|Low(36),21.739651,110.687211,BAISHA|Unavailable|Unavailable|Low(36),27.766524,105.37625,BAISHA|Unavailable|Unavailable|Low(36),25.673985,115.649847,BAISHA|Unavailable|Unavailable|Low(36),20.266667,110.272778,BAISHA|Unavailable|Unavailable|Low(36),28.401,88.401,BAISHA|Unavailable|Unavailable|Low(36),24.634172,113.503357,BAISHA|Unavailable|Unavailable|Low(36),29.602,89.502,BAISHA|Unavailable|Unavailable|Low(36),23.053864,113.223395,HAINAN|Unavailable|Unavailable|Low(36),26.613955,113.456339,BAISHA|Unavailable|Unavailable|Low(36),34.327778,113.250833,BAISHA|Unavailable|Unavailable|Low(36),23.049936,112.439335,BAISHA|Unavailable|Unavailable|Low(36),24.247778,113.451667,BAISHA|Unavailable|Unavailable|Low(36),19.167938,109.47244,BAISHA|Unavailable|Unavailable|Low(36),25.961427,117.836948,BAISHA|Unavailable|Unavailable|Low(36),30.257528,118.571631,BAISHA|Unavailable|Unavailable|Low(36),29.6,89.5,BAISHA|Unavailable|Unavailable|Low(36),28.4,88.4,BAISHA|Unavailable|Unavailable|Low(36),29.926042,119.452578,BAISHA|Unavailable|Unavailable|Low(36),18.939444,109.484167,HAINAN|Unavailable|Unavailable|Low(36)",,Pycnonotus sinensis,"Museum of Biology,Sun Yat-sen University","SYS0002793, SYS0002775, SYS0002774, SYS0002813, SYS0002809, SYS0002800",6,3
"Bangkok Province, BANGKOK",Thailand,,,13.753,100.501,yes,Low(37),Unavailable,"14.283333,100.5,BANGKOK|Unavailable|Unavailable|Low(37),13.533333,100.602135,BANGKOK|Unavailable|Unavailable|Low(37),13.753979,100.501444,BANGKOK|Unavailable|Unavailable|Low(37),13.78,100.621,BANGKOK|Unavailable|Unavailable|Low(37),13.753,100.501,BANGKOK|Unavailable|Unavailable|Low(37),13.780363,100.621917,BANGKOK|Unavailable|Unavailable|Low(37)",,Pycnonotus conradi,ANSP,108467,1,4
"Bangkok Province, Bangkok",Thailand,,,13.753,100.501,no,Low(37),unavailable,"14.283333,100.5,BANGKOK|Unavailable|Unavailable|Low(37),13.533333,100.602135,BANGKOK|Unavailable|Unavailable|Low(37),13.753979,100.501444,BANGKOK|Unavailable|Unavailable|Low(37),13.78,100.621,BANGKOK|Unavailable|Unavailable|Low(37),13.753,100.501,BANGKOK|Unavailable|Unavailable|Low(37),13.780363,100.621917,BANGKOK|Unavailable|Unavailable|Low(37)",,Pycnonotus conradi,ANSP,"82915, 82916, 82917, 87044",4,4
"Bawangling, Hainan",China,,,19.067692,109.18697,yes,Low(40),,"19.11084,109.081647,BAWANGLING|Unavailable|Unavailable|Low(40),30.788672,112.741673,BAWANGLING|Unavailable|Unavailable|Low(40),39.445452,106.891317,HAINAN|Unavailable|Unavailable|Low(36),23.053864,113.223395,HAINAN|Unavailable|Unavailable|Low(36),47.232,126.979,HAINAN|Unavailable|Unavailable|Low(36),33.0427,119.982,HAINAN|Unavailable|Unavailable|Low(36),44.5657,129.49,HAINAN|Unavailable|Unavailable|Low(36),19.25,109.75,HAINAN|Unavailable|Unavailable|Low(36),27.788646,102.307174,HAINAN|Unavailable|Unavailable|Low(36),18.939444,109.484167,HAINAN|Unavailable|Unavailable|Low(36),23.056503,116.212551,WANGLING|Unavailable|Unavailable|Low(25),23.1798,108.994,WANGLING|Unavailable|Unavailable|Low(25),23.790097,116.658079,WANGLING|Unavailable|Unavailable|Low(25),30.246398,112.92862,WANGLING|Unavailable|Unavailable|Low(25),25.463798,115.782752,WANGLING|Unavailable|Unavailable|Low(25),30.066667,116.116667,WANGLING|Unavailable|Unavailable|Low(25),23.2276,110.958,WANGLING|Unavailable|Unavailable|Low(25),23.6405,110.303,WANGLING|Unavailable|Unavailable|Low(25),26.0047,108.555,WANGLING|Unavailable|Unavailable|Low(25),23.4679,110.473,WANGLING|Unavailable|Unavailable|Low(25),34.8168,105.625,WANGLING|Unavailable|Unavailable|Low(25),34.473823,112.51678,WANGLING|Unavailable|Unavailable|Low(25),23.7223,110.936,WANGLING|Unavailable|Unavailable|Low(25),23.6679,110.219,WANGLING|Unavailable|Unavailable|Low(25),23.524,109.361,WANGLING|Unavailable|Unavailable|Low(25),27.2262,113.43,WANGLING|Unavailable|Unavailable|Low(25),22.1626,110.29,WANGLING|Unavailable|Unavailable|Low(25),23.1226,109.664,WANGLING|Unavailable|Unavailable|Low(25),29.842565,103.487594,WANGLIN|Unavailable|Unavailable|Low(24),34.1402,105.213,WANGLIN|Unavailable|Unavailable|Low(24),30.199317,115.452264,WANGLIN|Unavailable|Unavailable|Low(24),21.9907,107.691,WANGLIN|Unavailable|Unavailable|Low(24),26.770068,118.913897,WANGLIN|Unavailable|Unavailable|Low(24)",,Pycnonotus sinensis,"Museum of Biology,Sun Yat-sen University",SYS0002782,1,3
Beni Suef,Egypt,,,29.074409,31.097848,yes,High(84),Unavailable,"29.091218,31.070978,BENI SUEF|Unavailable|Unavailable|High(84),28.9,30.6,BENI SUEF|Unavailable|Unavailable|High(84),28.9,30.6,BENI SUEF|Unavailable|Unavailable|High(84),29.074409,31.097848,BENI SUEF|Unavailable|Unavailable|High(84),29.074409,31.097848,BENI SUEF|Unavailable|Unavailable|High(84)",,Pycnonotus barbatus,University of Cambridge Museum of Zoology,UMZC 27/Pyc/11/d/20,1,3
"Bie Province, Techioso, Cuanza River",Angola,,,-11.8,17.616667,yes,Low(42),Unavailable,"-9.347207,13.152053,CUANZA RIVER|Unavailable|Unavailable|Low(42),-11.8,17.616667,TECHIOSO|Unavailable|Unavailable|Low(38),-9.194735,20.95916,CUANZA|Unavailable|Unavailable|Low(36),-11.096127,17.444917,CUANZA|Unavailable|Unavailable|Low(36),-9.043015,15.901682,CUANZA|Unavailable|Unavailable|Low(36),-8.80924,15.642537,CUANZA|Unavailable|Unavailable|Low(36),-8.659952,15.176164,CUANZA|Unavailable|Unavailable|Low(36),-8.173659,14.862392,CUANZA|Unavailable|Unavailable|Low(36),-11.966667,15.283333,CUANZA|Unavailable|Unavailable|Low(36),-11.916667,17.7,CUANZA|Unavailable|Unavailable|Low(36),-6.011241,14.145942,CUANZA|Unavailable|Unavailable|Low(36),-8.900238,15.849866,CUANZA|Unavailable|Unavailable|Low(36),-6.045517,14.07735,CUANZA|Unavailable|Unavailable|Low(36),-9.347,13.151,CUANZA|Unavailable|Unavailable|Low(36),-9.347207,13.152053,CUANZA|Unavailable|Unavailable|Low(36),-10.818311,14.770481,CUANZA|Unavailable|Unavailable|Low(36),-12,17.666667,CUANZA|Unavailable|Unavailable|Low(36),-10.836536,17.208436,CUANZA|Unavailable|Unavailable|Low(36),-9.04988,15.871574,CUANZA|Unavailable|Unavailable|Low(36),-11.483711,17.510063,CUANZA|Unavailable|Unavailable|Low(36),-9.115803,18.253842,CUANZA|Unavailable|Unavailable|Low(36),-9.720458,15.951048,CUANZA|Unavailable|Unavailable|Low(36),-9.044972,15.979936,CUANZA|Unavailable|Unavailable|Low(36),-12.34989,17.303102,BIE|Unavailable|Unavailable|Low(33),-12.383333,16.933333,BIE|Unavailable|Unavailable|Low(33),-8.625558,14.698727,BIE|Unavailable|Unavailable|Low(33)",,Atimastillas flavigula,ANSP,"89124, 89125",2,2
Bioko Island (BBPP),Equatorial Guinea,,,3.358784,8.661,yes,Low(35),Unavailable,"3.350442,8.662766,BIOKO|Unavailable|Unavailable|Low(35),3.5833,8.75,BIOKO|Unavailable|Unavailable|Low(35),3.5,8.7,BIOKO|Unavailable|Unavailable|Low(35)",,"Arizelocichla tephrolaema, Eurillas latirostris",Field1,"1_NA_820, 1_NA_4697, 1_NA_4698, 1_NA_4333, 1_NA_4700, 1_NA_4696, 1_NA_4695",7,2
Bioko Island (BBPP),Equatorial Guinea,,,3.358784,8.661,no,,,,,Eurillas virens,Field1,1_NA_4784,1,2
Bioko Island (Caldera de Luba),Equatorial Guinea,,,3.352776,8.512328,yes,Low(35),,"3.5833,8.75,BIOKO|Unavailable|Unavailable|Low(35),3.5,8.7,BIOKO|Unavailable|Unavailable|Low(35),3.350442,8.662766,BIOKO|Unavailable|Unavailable|Low(35),3.45,8.55,LUBA|Unavailable|Unavailable|Low(34),3.456831,8.554647,LUBA|Unavailable|Unavailable|Low(34)",,"Bleda notatus, Eurillas latirostris",Field1,"1_NA_1192, 1_NA_4318, 1_NA_4319, 1_NA_4248, 1_NA_4246, 1_NA_4244, 1_NA_4245, 1_NA_4247",8,3
Bioko Island (Caldera de Luba),Equatorial Guinea,,,3.352776,8.512328,no,,,,,Eurillas virens,Field1,"1_NA_4726, 1_NA_4738",2,3
Bioko Island (Caldera de Luba),Equatorial Guinea,,,3.352776,8.512328,no,,,,,Eurillas virens,Field1,1_NA_4737,1,3
Bioko Island (Moka),Equatorial Guinea,,,3.350442,8.662766,no,Low(35),unavailable,"3.350442,8.662766,BIOKO|Unavailable|Unavailable|Low(35),3.5833,8.75,BIOKO|Unavailable|Unavailable|Low(35),3.5,8.7,BIOKO|Unavailable|Unavailable|Low(35),3.333333,8.666667,MOKA|Unavailable|Unavailable|Low(34)",,"Eurillas latirostris, Eurillas virens",Field1,"1_NA_4320, 1_NA_4206, 1_NA_4323, 1_NA_4462, 1_NA_4205, 1_NA_4321, 1_NA_4243, 1_NA_4768, 1_NA_4736",9,2
Bois Sec,Mauritius,,,-20.441389,57.510278,no,High(83),unavailable,"-20.441389,57.510278,BOIS SEC|Unavailable|Unavailable|High(83)",,Hypsipetes olivaceus,University of Cambridge Museum of Zoology,"UMZC 27/Pyc/6/c/23, UMZC 27/Pyc/6/c/19, UMZC 27/Pyc/6/c/21, UMZC 27/Pyc/6/c/20, UMZC 27/Pyc/6/c/22",5,2
Borneo,Malaysia,,,2.361686,111.912598,yes,High(81),Unavailable,"4,115,BORNEO|Unavailable|Unavailable|High(81),1,114,BORNEO|Unavailable|Unavailable|High(81)",,Setornis criniger,ANSP,61333,1,6
Bountai,Laos,,,21.39,102.06,no,,,,,Rubigula flaviventris,University of Michigan Museum of Zoology,68994,1,4
Brong-Ahafo Region,Ghana,,,7.75,-1.5,no,High(93),unavailable,"7.75,-1.5,BRONG-AHAFO REGION|Unavailable|Unavailable|High(93)",,Eurillas curvirostris,"Louisiana State University, Museum of Natural Science","174583, 174584, 174585, 174586, 174587",5,4
"Centro Sur, Monte Alen",Equatorial Guinea,,,1.666693,10.305264,yes,Low(40),,"1.666693,10.305264,MONTE ALEN|Unavailable|Unavailable|Low(40),1.5,10.416667,CENTRO SUR|Unavailable|Unavailable|Low(40),1.5,10.5,CENTRO SUR|Unavailable|Unavailable|Low(40),2.08576,11.000008,ALEN|Unavailable|Unavailable|Low(34),1.964587,11.320696,ALEN|Unavailable|Unavailable|Low(34),2.094908,11.017171,ALEN|Unavailable|Unavailable|Low(34),1.909751,10.299772,ALEN|Unavailable|Unavailable|Low(34),1.023491,10.993784,ALEN|Unavailable|Unavailable|Low(34),1.189924,9.833941,ALEN|Unavailable|Unavailable|Low(34),2.116153,10.384419,ALEN|Unavailable|Unavailable|Low(34),1.95344,11.146528,ALEN|Unavailable|Unavailable|Low(34),1.654797,10.316589,ALEN|Unavailable|Unavailable|Low(34),1.563255,10.798657,ALEN|Unavailable|Unavailable|Low(34),1.742644,11.134455,ALEN|Unavailable|Unavailable|Low(34),1.648498,11.099335,ALEN|Unavailable|Unavailable|Low(34),1.898057,10.754401,ALEN|Unavailable|Unavailable|Low(34),1.856073,11.366086,ALEN|Unavailable|Unavailable|Low(34),1.784876,10.625502,ALEN|Unavailable|Unavailable|Low(34)",,Eurillas gracilis,ANSP,"190212, 190213, 190214",3,2
"Chanthaburi Province, CHANTABOON;",Thailand,,,12.858,102.154,yes,Low(50),Unavailable,"12.858,102.154,CHANTHABURI PROVINCE|Unavailable|Unavailable|Low(50),12.857983,102.154339,CHANTHABURI|Unavailable|Unavailable|Low(41),12.5833,102.1333,CHANTHABURI|Unavailable|Unavailable|Low(41),12.609611,102.104472,CHANTHABURI|Unavailable|Unavailable|Low(41),12.858,102.154,CHANTHABURI|Unavailable|Unavailable|Low(41)",,Iole propinqua,ANSP,112595,1,4
"Chiang Mai Province, Chiang Dao District, Doi Chiang Dao",Thailand,,,19.397389,98.888296,yes,Medium(60),,"18.787044,99.004682,(g3)Chiang Mai|Unavailable|7773|Medium(60)",,"Hemixos flavala, Iole propinqua",ANSP,"112631, 112632, 112634, 112591",4,3
"Chiang Mai Province, Chiang Mai",Thailand,,,18.787044,99.004682,no,Medium(60),unavailable,"18.787044,99.004682,(g3)Chiang Mai|Unavailable|7773|Medium(60)",,Pycnonotus conradi,ANSP,112578,1,4
"Chiang Mai Province, Chiang Mai; Doi Suthep",Thailand,,,18.816731,98.891729,yes,Medium(60),,"18.787044,99.004682,(g3)Chiang Mai|Unavailable|7773|Medium(60)",,Iole propinqua,ANSP,"87011, 87013",2,3
"Chiang Rai Province, Chiang Saen District, Chiang Saen",Thailand,,,20.275111,100.086889,yes,Low(49),Unavailable,"19.9167,99.9167,CHIANG RAI PROVINCE|Unavailable|Unavailable|Low(49),20.275111,100.086889,CHIANG SAEN|Unavailable|Unavailable|Low(41),20.2833,100.15,CHIANG SAEN|Unavailable|Unavailable|Low(41),20.14675,99.852556,CHIANG SAEN|Unavailable|Unavailable|Low(41),19.886074,99.826645,CHIANG RAI|Unavailable|Unavailable|Low(40),19.908584,99.8325,CHIANG RAI|Unavailable|Unavailable|Low(40),19.9333,99.85,CHIANG RAI|Unavailable|Unavailable|Low(40),19.9167,99.9167,CHIANG RAI|Unavailable|Unavailable|Low(40),19.916667,99.916667,CHIANG RAI|Unavailable|Unavailable|Low(40),12.853658,101.300354,RAI|Unavailable|Unavailable|Low(33),19.066667,100.25,RAI|Unavailable|Unavailable|Low(33)",,Iole propinqua,ANSP,87012,1,3
"Chiela (Landana), Cabinda",Angola,,,-5.239829,12.150499,yes,Low(37),Unavailable,"-9.15,14.95,CABINDA|Unavailable|Unavailable|Low(37),-5.55,12.2,CABINDA|Unavailable|Unavailable|Low(37),-8.341502,17.008385,CABINDA|Unavailable|Unavailable|Low(37),-12.083333,15.533333,CABINDA|Unavailable|Unavailable|Low(37),-16.1,17.65,CABINDA|Unavailable|Unavailable|Low(37),-5.233333,12.133333,LANDANA|Unavailable|Unavailable|Low(37),-8.166667,18.116667,CABINDA|Unavailable|Unavailable|Low(37),-11.533333,14.2,CABINDA|Unavailable|Unavailable|Low(37),-7.322386,15.088764,CABINDA|Unavailable|Unavailable|Low(37),-4.934231,12.405319,CABINDA|Unavailable|Unavailable|Low(37),-5.453481,12.373098,CABINDA|Unavailable|Unavailable|Low(37),-5.5667,12.2,CABINDA|Unavailable|Unavailable|Low(37),-4.934,12.238,CABINDA|Unavailable|Unavailable|Low(37),-12.633333,14.6,CABINDA|Unavailable|Unavailable|Low(37),-10.069773,14.986565,CABINDA|Unavailable|Unavailable|Low(37),-8.348854,14.31965,CABINDA|Unavailable|Unavailable|Low(37),-8.977467,14.668007,CABINDA|Unavailable|Unavailable|Low(37),-5.383333,12.283333,CHIELA|Unavailable|Unavailable|Low(36)",,Phyllastrephus icterinus,"Lubango Museum, Angola",30126A,1,3
Chirinda Forest; Mt. Selinda,Zimbabwe,,,-20.450843,32.71354,yes,Low(43),,"-20.450843,32.71354,MOUNT SELINDA|Unavailable|Unavailable|Low(43),-20.4167,32.7167,MOUNT SELINDA|Unavailable|Unavailable|Low(43),-17.929406,31.993767,CHIRINDA|Unavailable|Unavailable|Low(38),-19.233333,32.233333,CHIRINDA|Unavailable|Unavailable|Low(38),-20.08566,31.473487,CHIRINDA|Unavailable|Unavailable|Low(38),-19.098607,31.680261,CHIRINDA|Unavailable|Unavailable|Low(38)",,Phyllastrephus flavostriatus,University of Cambridge Museum of Zoology,UMZC 27/Pyc/10/g/3,1,3
Chitokoloki,Zambia,,,-13.8333,23.2167,yes,High(86),Unavailable,"-13.829735,23.217228,CHITOKOLOKI|Unavailable|Unavailable|High(86),-13.8333,23.2167,CHITOKOLOKI|Unavailable|Unavailable|High(86)",,"Chlorocichla flaviventris, Pycnonotus barbatus",Field1,"1_NA_2100, 1_NA_2101, 1_NA_8589, 1_NA_8595",4,2
"Coast Province, Mombasa, Mombasa",Kenya,,,-4.054655,39.663588,yes,Low(44),Unavailable,"-2,39.75,COAST PROVINCE|Unavailable|Unavailable|Low(44),-3,39.5,COAST PROVINCE|Unavailable|Unavailable|Low(44),-4.054655,39.663588,MOMBASA|Unavailable|Unavailable|Low(37),-1.710817,37.871106,MOMBASA|Unavailable|Unavailable|Low(37),-1.689943,37.920036,MOMBASA|Unavailable|Unavailable|Low(37),-4,39.666667,MOMBASA|Unavailable|Unavailable|Low(37),-4.0667,39.6667,MOMBASA|Unavailable|Unavailable|Low(37),-1.686184,37.913436,MOMBASA|Unavailable|Unavailable|Low(37),-4,39.666,MOMBASA|Unavailable|Unavailable|Low(37),-3,39.5,COAST|Unavailable|Unavailable|Low(35),-2,39.75,COAST|Unavailable|Unavailable|Low(35)",,Phyllastrephus fischeri,ANSP,95957,1,4
