"","Species2_eBird","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Tail.Length"
"46","Eurillas virens",0.5625,0.14,0.0200000000000001,0.133333333333333,1.23333333333333,7.41666666666667,4.1425,32.8958333333333
"47","Hemixos castanonotus",0.4025,0.313333333333333,0.17,0.02,0.1825,30.2291666666667,2.20916666666667,29.0625
"48","Hemixos cinereus",0.755833333333334,0.54,0.00666666666666665,0.0291666666666666,0.122499999999999,8.41666666666667,10.3425,11.0625
"49","Hemixos flavala",0.886666666666668,0.366666666666667,0.136666666666667,0.0691666666666666,0.435833333333333,14.7291666666667,2.88,17.6666666666667
"50","Hypsipetes amaurotis",1.7025,0.66,0.0291666666666667,0.0166666666666666,0.15,37.2291666666667,4.08333333333333,41.5833333333333
"51","Hypsipetes borbonicus",0.4425,0.249166666666667,0.2225,0.115833333333333,0.806666666666668,4.91666666666667,0.329166666666667,8.25
"52","Hypsipetes crassirostris",1.82,1.35333333333333,0.0625,0.433333333333333,0.566666666666666,32.3333333333333,8.40916666666667,43.3333333333333
"53","Hypsipetes everetti",2.15,1.59,0.0966666666666667,0.15,1.63583333333334,4.25,0.0299999999999999,11.5833333333333
"54","Hypsipetes ganeesa",0.235833333333332,0.1025,0.166666666666667,0.0566666666666667,0.0624999999999995,4.91666666666667,1.36333333333333,33.6666666666667
"55","Hypsipetes leucocephalus",2.04857142857143,1.78982142857143,0.0626785714285714,0.08125,0.679285714285714,39.5,3.53553571428571,196.709821428571
"56","Hypsipetes madagascariensis",1.43583333333333,0.12,0.206666666666667,0.266666666666667,0.349166666666666,49.8958333333333,7,44.6666666666667
"57","Hypsipetes nicobariensis",0.619999999999999,0.809166666666666,0.0891666666666667,0.0158333333333334,0.1225,18,2.03583333333333,11.2291666666667
"58","Hypsipetes olivaceus",0.75,5.87333333333333,0.1825,0.2625,0.909166666666668,21.3958333333333,39.0466666666667,29.6666666666667
"59","Hypsipetes philippinus",1.80666666666666,0.5625,0.0158333333333333,0.00916666666666668,0.763333333333335,33.0625,6.23,11.3958333333333
"60","Hypsipetes rufigularis",1.16916666666667,0.2625,0.0799999999999999,0.0433333333333333,0.553333333333333,15.2291666666667,3.61666666666666,65.3333333333333
"61","Hypsipetes thompsoni",0.0133333333333332,0.115833333333333,0.06,0.00666666666666668,0.449166666666667,4.91666666666667,0.659999999999999,10.25
"62","Iole charlottae",2.89666666666667,1.39666666666667,0.12,0.0558333333333333,0.0466666666666668,17,3.14,4.25
"63","Iole indica",0.725681818181819,0.301515151515152,0.135151515151515,0.0893181818181818,0.854242424242425,19.3560606060606,1.81477272727273,82.9924242424242
"64","Iole palawanensis",0.163333333333334,0.0300000000000001,0.0433333333333333,0.216666666666667,0.5825,2.72916666666667,3.31,17.5833333333333
"65","Iole propinqua",0.229166666666666,0.175833333333333,0.00666666666666668,0.0358333333333334,0.542500000000001,10.5,0.549166666666667,40.3333333333333
"66","Ixonotus guttatus",0.246666666666666,0.129166666666667,0.189166666666667,0.0225000000000001,0.819999999999999,6.25,0.536666666666666,16.9166666666667
"67","Ixos malaccensis",2.267,0.547000000000001,0.0629999999999999,0.00800000000000001,0.157,14.5,2.233,40.7
"68","Ixos mcclellandii",0.896666666666666,0.766666666666667,0.0091666666666666,0.0891666666666667,0.729166666666666,16.6666666666667,1.11583333333333,52.25
"69","Ixos virescens",0.334285714285715,0.504107142857143,0.274107142857143,0.0771428571428572,1.06267857142857,14.2098214285714,10.4278571428571,31.8883928571429
"70","Neolestes torquatus",0.166666666666666,0.0824999999999999,0.0558333333333333,0.0158333333333333,1.5825,4.08333333333333,0.269999999999999,12.9166666666667
"71","Phyllastrephus albigularis",0.873333333333331,0.555833333333334,0.0633333333333333,0.169166666666667,0.873333333333331,20.9166666666667,0.0491666666666667,169.5625
"72","Phyllastrephus baumanni",3.0025,1.11333333333333,0.0566666666666667,0.0833333333333334,0.749166666666668,27,0.0225000000000001,44.6666666666667
"73","Phyllastrephus cabanisi",1.94214285714286,1.14785714285714,0.10125,0.12125,1.58267857142857,34.4107142857143,4.82125,37.9285714285714
"74","Phyllastrephus cerviniventris",0.6825,0.8425,0.123333333333333,0.0299999999999999,1.28666666666667,20.25,0.886666666666667,12.9166666666667
"75","Phyllastrephus debilis",1.28916666666667,0.43,0.0758333333333333,0.0291666666666666,0.463333333333334,2.25,1.79583333333333,27.3333333333333
"76","Phyllastrephus fischeri",7.46,2.9625,0.0866666666666666,0.109166666666667,0.842499999999999,26.9166666666667,3.72916666666667,39.5833333333333
"77","Phyllastrephus flavostriatus",6.40839285714286,2.23714285714286,0.135535714285714,0.206964285714286,3.42,51.4285714285714,2.21928571428571,60.3526785714286
"78","Phyllastrephus fulviventris",0.936666666666664,0.516666666666667,0.0666666666666667,0.133333333333334,3.2825,38.6666666666667,3.41583333333333,61.3333333333333
"79","Phyllastrephus hypochloris",0.936666666666667,0.126666666666667,0.0266666666666667,0.0758333333333333,0.11,16.6666666666667,2.9625,28.9166666666667
"80","Phyllastrephus icterinus",0.47,0.4425,0.0491666666666667,0.07,1.76666666666667,13.7291666666667,1.28666666666667,20.25
"81","Phyllastrephus poensis",2.27357142857143,1.09267857142857,0.198392857142857,0.0678571428571429,1.03928571428571,18.8883928571429,2.05410714285714,19.9285714285714
"82","Phyllastrephus poliocephalus",0.549166666666666,0.0466666666666666,0.0691666666666668,0.1425,4.01583333333333,22.0833333333333,0.1625,31
"83","Phyllastrephus scandens",1.69,0.456666666666666,0.0691666666666666,0.1,2.3025,43.6666666666667,2.03666666666667,33.6666666666667
"84","Phyllastrephus strepitans",3.18,1.29583333333333,0.0758333333333333,0.1225,1.06916666666667,44.6666666666667,2.5825,34
"85","Phyllastrephus terrestris",1.64916666666667,0.309166666666667,0.0833333333333333,0.1425,0.389166666666666,1.66666666666667,1.14916666666667,22.9166666666667
"86","Phyllastrephus xavieri",3.37,1.72916666666667,0.115833333333333,0.136666666666667,4.46,52.5625,4.88916666666667,67.4166666666667
"87","Pycnonotus aurigaster",0.656111111111111,0.531944444444444,0.0969444444444446,0.217777777777778,2.7375,9,4.36444444444444,49.1111111111111
"88","Pycnonotus barbatus",1.80629166666667,0.736666666666666,0.0713333333333333,0.123625,2.11595833333333,33.6666666666667,2.324625,41.7958333333333
