avonet_specimen_id,avdb_source_id,avdb_avibase_id,avdb_species_1_birdlife,avdb_species_2_ebird,avdb_species_3_birdtree,gdb_subspecies,avdb_source_type,avdb_source_code,avdb_specimen_identifier_unique,avdb_specimen_identifier_orig,avdb_country_wri,gdb_locality_edited,gdb_locality_original,avdb_sex,avdb_life_stage,avdb_wing_length,avdb_kipps_distance,avdb_secondary_1,avdb_beak_length_culmen,avdb_beak_length_nares,avdb_beak_width,avdb_gape_width,gdb_gape_size,avdb_beak_depth_nares,avdb_beak_depth_max,avdb_tail_length,avdb_tail_graduation,avdb_tarsus_length,avdb_back_toe,avdb_measurer_tag,avdb_measurer_comment,avdb_lit_abbrev
Arizelocichla masukuensis_28,76790,AVIBASE-6FC57210,Arizelocichla masukuensis,Arizelocichla masukuensis,Andropadus masukuensis,roehli,field study,Field1,1_NA_799,1_NA,United Republic of Tanzania,NULL,East Usambara Mountains,unknown,Adult,79,17,62,14.5,8.2,3.9,NULL,11.1,3.8,NULL,75,NULL,21.7,NULL,MNC,NULL,NULL
Arizelocichla masukuensis_29,76791,AVIBASE-6FC57210,Arizelocichla masukuensis,Arizelocichla masukuensis,Andropadus masukuensis,roehli,field study,Field1,1_NA_800,1_NA,United Republic of Tanzania,NULL,East Usambara Mountains,unknown,Adult,82,15,67,16.5,8,3.8,NULL,12.3,3.6,NULL,81,NULL,20.3,NULL,MNC,NULL,NULL
Arizelocichla milanjensis_6,76792,AVIBASE-8479F56E,Arizelocichla milanjensis,Arizelocichla milanjensis,Andropadus milanjensis,NULL,field study,Field1,1_NA_801,1_NA,Mozambique,NULL,"Njesi Plateau (12°49'35.6""S 35°11'25.6""E)",female,Adult,90,NULL,NULL,19.3,10.8,3.8,NULL,NULL,NULL,NULL,88,NULL,NULL,NULL,SEIJ,NULL,NULL
Arizelocichla nigriceps_10,76794,AVIBASE-54A902B5,Arizelocichla nigriceps,Arizelocichla nigriceps,Andropadus nigriceps,usambarae,field study,Field1,1_NA_803,1_NA,United Republic of Tanzania,NULL,West Usambara Mountains,unknown,Adult,85,12,73,17.5,8.8,4.1,NULL,11,4.6,NULL,83,NULL,24.5,NULL,MNC,NULL,NULL
Arizelocichla nigriceps_11,76795,AVIBASE-54A902B5,Arizelocichla nigriceps,Arizelocichla nigriceps,Andropadus nigriceps,usambarae,field study,Field1,1_NA_804,1_NA,United Republic of Tanzania,NULL,West Usambara Mountains,unknown,Adult,80,10,70,16.6,8.3,4.2,NULL,11.7,4.3,NULL,82,NULL,23,NULL,MNC,NULL,NULL
Arizelocichla nigriceps_12,76796,AVIBASE-54A902B5,Arizelocichla nigriceps,Arizelocichla nigriceps,Andropadus nigriceps,usambarae,field study,Field1,1_NA_805,1_NA,United Republic of Tanzania,NULL,West Usambara Mountains,unknown,Adult,85,13,72,18.1,9.3,4.2,NULL,11.2,4.8,NULL,84,NULL,25,NULL,MNC,NULL,NULL
Arizelocichla nigriceps_9,76793,AVIBASE-54A902B5,Arizelocichla nigriceps,Arizelocichla nigriceps,Andropadus nigriceps,usambarae,field study,Field1,1_NA_802,1_NA,United Republic of Tanzania,NULL,West Usambara Mountains,unknown,Adult,90,15,75,18,9.2,4.5,NULL,11.8,5.1,NULL,88,NULL,25.3,NULL,MNC,NULL,NULL
Arizelocichla striifacies_10,76798,AVIBASE-4996833A,Arizelocichla striifacies,Arizelocichla milanjensis,Andropadus milanjensis,striifacies,field study,Field1,1_NA_807,1_NA,United Republic of Tanzania,NULL,East Usambara Mountains,unknown,Adult,91,15,76,19.4,10.6,5.1,NULL,12.6,5.2,NULL,90,NULL,22.5,NULL,MNC,NULL,NULL
Arizelocichla striifacies_11,76799,AVIBASE-4996833A,Arizelocichla striifacies,Arizelocichla milanjensis,Andropadus milanjensis,striifacies,field study,Field1,1_NA_808,1_NA,United Republic of Tanzania,NULL,East Usambara Mountains,unknown,Adult,88,14,74,16.3,9.4,4.1,NULL,11,4.6,NULL,86,NULL,22.5,NULL,MNC,NULL,NULL
Arizelocichla striifacies_12,76800,AVIBASE-4996833A,Arizelocichla striifacies,Arizelocichla milanjensis,Andropadus milanjensis,striifacies,field study,Field1,1_NA_809,1_NA,United Republic of Tanzania,NULL,East Usambara Mountains,unknown,Adult,87,15,72,19.4,11.3,4.4,NULL,12.2,4.9,NULL,88,NULL,23.4,NULL,MNC,NULL,NULL
