LocalityString,Country,State,County,Lat,Lon,Correction Status,Precision,Error Polygon,Error Polygon (circular polygon),Multiplot,AviList,Source,Specimen.number,n_specimens,Code
"Doi Chiang Dao, Chiang Dao, Chiang Rai",Thailand,,,NA,NA,,,,,,"Iole propinqua, Microtarsus melanocephalos, Pycnonotus aurigaster, Pycnonotus finlaysoni, Pycnonotus flavescens, Rubigula flaviventris, Pycnonotus jocosus, Alophoixus pallidus",Field1,"3A10702, 3A10706, 3A03678, 3A10703, 3A10705, 3A10731, 3A10715, 4A02462, 3A03680, 3A03685, 3A03672, 3A03681, 3A03674, 3A10708, 3A10727, 3A10726, 3A10725, 3A10723, 3A10718, 3A03679, 3A10713, 3A10707, 4A01181, 4A01175, 4A04562, 4A01174, 4A01173, 4A01172, 4A04557, 4A02460, 4A02461, 3A03693, 4A04565, 4A04566, 4A04563, 4A01179, 3A03694, 4A01178, 3A04409, 3A10704, 3A10724, 3A10722, 3A03682, 3A10721, 3A10720, 3A03673, 3A10712, 3A10701, 4A01040, 4A01038, 3A03683, 3A03684, 3A03668, 3A10717, 3A10719, 4A02459, 4A02455, 4A02452, 4A02453, 3A03671, 3A15544, 4A01165, 4A02456, 4A01045, 4A01046, 4A01044, 4A01043, 4A01042, 4A01039, 4A02451, 4A02463, 4A02457, 4A01041, 4A01049, 4A01048, 4A04553",77,NA
Doi Hua Mot,Thailand,,,NA,NA,,,,,,Hypsipetes thompsoni,Smithsonian NMNH,USNM 334529,1,NA
"Doi Lang, Mae Ai, Chiang Rai",Thailand,,,NA,NA,,,,,,"Hemixos flavala, Ixos mcclellandii, Pycnonotus flavescens",Field1,"4A02766, 4A02753, 4A02756, 4A02570, 4A02754, 4A02769, 4A01158",7,NA
Doi Pha Hom Pok,Thailand,,,NA,NA,,,,,,Hypsipetes thompsoni,Smithsonian NMNH,USNM 534768,1,NA
Doi Suthep,Thailand,,,NA,NA,,,,,,Hypsipetes thompsoni,Smithsonian NMNH,USNM 336675,1,NA
"Doi Wao, Tha Wang Pha, Nan",Thailand,,,NA,NA,,,,,,"Pycnonotus flavescens, Alophoixus pallidus",Field1,"3A00749, 3A00750, 3A00748, 4A01377",4,NA
Dok Angka,Thailand,,,NA,NA,,,,,,Hypsipetes thompsoni,Smithsonian NMNH,USNM 335745,1,NA
"Dolondolo (Capira), Moçâmedes",Angola,,,NA,NA,,,,,,Phyllastrephus fulviventris,"Lubango Museum, Angola",33506,1,NA
"Dreamland, Gingoog, Mindoro",Phillippines,,,NA,NA,,,,,,Pycnonotus goiavier,NMNH Philippines,NA,1,NA
Dumurug Point,Philippines,,,NA,NA,,,,,,Hypsipetes guimarasensis,Smithsonian NMNH,USNM 211468,1,NA
Dundo - (Rio Luachimo),Angola,,,NA,NA,,,,,,Bleda syndactylus,"Lubango Museum, Angola",34509,1,NA
"Dundo, Lunda",Angola,,,NA,NA,,,,,,Eurillas curvirostris,"Lubango Museum, Angola",27469,1,NA
"Dunga (CarmoNA), Uíge",Angola,,,NA,NA,,,,,,"Stelgidillas gracilirostris, Chlorocichla falkensteini","Lubango Museum, Angola","27169, 27172",2,NA
"Dunga (MassucoNA), Uíge",Angola,,,NA,NA,,,,,,Neolestes torquatus,"Lubango Museum, Angola","27144, 27257",2,NA
"Durban, NAtal",South Africa,,,NA,NA,,,,,,Pycnonotus barbatus,"Lubango Museum, Angola",40191,1,NA
E Java,Indonesia,,,NA,NA,,,,,,Rubigula dispar,Queensland Museum,O7865,1,NA
Elmina,Ghana,,,NA,NA,,,,,,Criniger calurus,RMNH,RMNH.AVES.126342,1,NA
Est. do Caitou (V. Arriaga),Angola,,,NA,NA,,,,,,Chlorocichla flaviventris,"Lubango Museum, Angola",6686,1,NA
Estação Agríc. (Humpata),Angola,,,NA,NA,,,,,,Pycnonotus barbatus,"Lubango Museum, Angola",6630,1,NA
"Estrada de Turismo (Dundo), Lunda",Angola,,,NA,NA,,,,,,"Eurillas curvirostris, Eurillas latirostris, Stelgidillas gracilirostris, Chlorocichla simplex, Eurillas gracilis, Eurillas virens","Lubango Museum, Angola","27633, 27650, 27648, 27668, 27669, 27718, 27628, 27636, 27549, 27716, 28430, 27631, 27551, 27647, 27592, 27683, 27594, 27591, 27659, 27603, 27679, 27667, 27526, 27725",24,NA
"F. Prototipo, (Salazar), C. Norte",Angola,,,NA,NA,,,,,,"Stelgidillas gracilirostris, Chlorocichla simplex","Lubango Museum, Angola","39295, 39311",2,NA
"F. Restauracao (Salazar), C. Norte",Angola,,,NA,NA,,,,,,Chlorocichla falkensteini,"Lubango Museum, Angola",39390,1,NA
"F. Restauração (Salazar), C. Norte",Angola,,,NA,NA,,,,,,Baeopogon indicator,"Lubango Museum, Angola",39381,1,NA
"Fajã de Tchicolungira, Pupa (Munhino)",Angola,,,NA,NA,,,,,,Phyllastrephus fulviventris,"Lubango Museum, Angola",4649,1,NA
"Faz. Funtira (Ganda), Benguella",Angola,,,NA,NA,,,,,,Phyllastrephus fulviventris,"Lubango Museum, Angola",33142,1,NA
"Faz. Lutira (Ganda), Benguela",Angola,,,NA,NA,,,,,,Phyllastrephus cabanisi,"Lubango Museum, Angola",32705,1,NA
"Faz. Moita (Bibala), Moçâmedes",Angola,,,NA,NA,,,,,,Chlorocichla flaviventris,"Lubango Museum, Angola",21445,1,NA
"Faz. Prototipo (Salazar), C. Norte",Angola,,,NA,NA,,,,,,Chlorocichla falkensteini,"Lubango Museum, Angola",39509,1,NA
"Faz. Restauração (Salazar), C. Norte",Angola,,,NA,NA,,,,,,"Eurillas curvirostris, Chlorocichla falkensteini, Eurillas virens","Lubango Museum, Angola","39424, 39413, 28292, 39553",4,NA
"Faz. Tundavala (Sá da Bandeira), Huíla",Angola,,,NA,NA,,,,,,Chlorocichla flaviventris,"Lubango Museum, Angola","21378, 21377",2,NA
Faz. da Cacanda (Bibala),Angola,,,NA,NA,,,,,,Pycnonotus nigricans,"Lubango Museum, Angola",5425,1,NA
Faz.ª da Cacanda (Bibala),Angola,,,NA,NA,,,,,,Pycnonotus nigricans,"Lubango Museum, Angola",5091,1,NA
Fazenda Cacanda (Bibala),Angola,,,NA,NA,,,,,,Phyllastrephus fulviventris,"Lubango Museum, Angola",5421,1,NA
"Fazenda Horta (Bibala), Moçâmedes",Angola,,,NA,NA,,,,,,Pycnonotus nigricans,"Lubango Museum, Angola",32328,1,NA
"Fazenda Lutira (Ganda), Benguela",Angola,,,NA,NA,,,,,,"Phyllastrephus fulviventris, Phyllastrephus cabanisi","Lubango Museum, Angola","33162, 33123",2,NA
"Fazenda Maita (Bibala), Moçâmedes",Angola,,,NA,NA,,,,,,Pycnonotus nigricans,"Lubango Museum, Angola",32330,1,NA
"Fda. Bolongonzo (CarmoNA), Uíge",Angola,,,NA,NA,,,,,,Stelgidillas gracilirostris,"Lubango Museum, Angola",27209,1,NA
"Figtree, near Wollongong NSW",Australia,,,NA,NA,,,,,,Pycnonotus jocosus,Australian Museum,AM O.59906,1,NA
"Fneafé (Ganda), Benguela",Angola,,,NA,NA,,,,,,Pycnonotus barbatus,"Lubango Museum, Angola",32976,1,NA
"Forest Reserve, Menggalong, Sabah, E. Malaysia (4°58'N, 115°28'E)",Malaysia,,,NA,NA,,,,,,Setornis criniger,Western Foundation of Vertebrate Zoology,"WFVZ #39004, WFVZ #39005",2,NA
"Forestry (4�28'43.7""N 101�23'21.5""E)",Malaysia,,,NA,NA,,,,,,Ixos mcclellandii,Field1,"14UWA16G, 37UWA16G, 205UWA16E, 206UWA16E, 207UWA16E, 208UWA16E",6,NA
"Fragment (4�30'26.3""N 101�25'55.9""E)",Malaysia,,,NA,NA,,,,,,Ixos mcclellandii,Field1,"389UWA16E, 391UWA16E, 404UA16E, 416UWA16E, 417UWA16E",5,NA
Fungshan,China,,,NA,NA,,,,,,Pycnonotus sinensis,RMNH,RMNH.AVES.125619,1,NA
"GUDI (8.86424, 8.199845)",Nigeria,,,NA,NA,,,,,,Pycnonotus barbatus,Field1,"CA02944, CA02945, CA02946, CA02947, CA02948, CA02949, CA02950, CA02951, CA02952, CA02953, CA02954, CA02955, CA02956, CA02957, CA02958, CA02959, CA02961, CA02960, CA02962, CA02963, CA02964",21,NA
Gabela,Angola,,,NA,NA,,,,,,Chlorocichla falkensteini,"Lubango Museum, Angola",2082,1,NA
Gabela (30 km S),Angola,,,NA,NA,,,,,,Eurillas latirostris,"Lubango Museum, Angola",3360,1,NA
"Gajoc Locös, Atang Poetar, Takingjon",Indonesia,,,NA,NA,,,,,,Pycnonotus snouckaerti,MZB,"10986, 11017, 11018, 10985",4,NA
"Gajoc Locös, Palok",Indonesia,,,NA,NA,,,,,,Pycnonotus snouckaerti,MZB,10050,1,NA
"Gajoc Locös, Rékét, Atang Poetar",Indonesia,,,NA,NA,,,,,,Pycnonotus snouckaerti,MZB,10959,1,NA
"Gajoc Locös, Simpang Agoesan",Indonesia,,,NA,NA,,,,,,Pycnonotus snouckaerti,MZB,10227,1,NA
Gambos,Angola,,,NA,NA,,,,,,Pycnonotus nigricans,RMNH,RMNH125717,1,NA
Garganta (Bibala),Angola,,,NA,NA,,,,,,Chlorocichla flaviventris,"Lubango Museum, Angola",5053,1,NA
Goldcoast (Ghana),Ghana,,,NA,NA,,,,,,Thescelocichla leucopleura,RMNH,"RMNH126294, RMNH126295",2,NA
"Gombo (Cangandala), Malanje",Angola,,,NA,NA,,,,,,Phyllastrephus cabanisi,"Lubango Museum, Angola","12489, 12531",2,NA
"Grand Bassin, Mauritius",Mauritius,,,NA,NA,,,,,,Hypsipetes olivaceus,University of Cambridge Museum of Zoology,"UMZC 27/Pyc/6/c/13, UMZC 27/Pyc/6/c/14",2,NA
Grand Comore Island (Ngazidja),Comoros,,,NA,NA,,,,,,Hypsipetes parvirostris,University of Cambridge Museum of Zoology,"UMZC 27/Pyc/6/j/11, UMZC 27/Pyc/6/j/10, UMZC 27/Pyc/6/j/12, UMZC 27/Pyc/6/j/13",4,NA
"Guengue (Matala), Huíla",Angola,,,NA,NA,,,,,,Chlorocichla flaviventris,"Lubango Museum, Angola","25488, 25026",2,NA
Guma (Cuangar),Angola,,,NA,NA,,,,,,Pycnonotus nigricans,"Lubango Museum, Angola","9242, 9248",2,NA
"Gunung Talamau, NW helling , Sumatra, Ophir Distrikten , 1000m",Indonesia,,,NA,NA,,,,,,Pycnonotus tympanistrigus,RMNH,RMNH125335,1,NA
Halmahera,Indonesia,,,NA,NA,,,,,,Hypsipetes chloris,NHMUK,"60.9.5.39, 62.9.11.18, 98.10.2.92, 1969.52.1013",4,NA
Halmahera,Indonesia,,,NA,NA,,,,,,Hypsipetes chloris,SNMB,N43295,1,NA
Halmahera,Indonesia,,,NA,NA,,,,,,Hypsipetes chloris,ZMB,"55/209, 55/211, 55/208, 55/213, 2000/26786, 55/212, 55/210",7,NA
Hat Chao Samran,Thailand,,,NA,NA,,,,,,Pycnonotus conradi,Field1,4A30862,1,NA
"Henmant (3�42'50.4""N 101�42'50.4""E)",Malaysia,,,NA,NA,,,,,,Ixos mcclellandii,Field1,"277UWA16E, 282UWA16E, 283UWA16E",3,NA
"Highwavys, Kerala",India,,,NA,NA,,,,,,"Pycnonotus jocosus, Hypsipetes ganeesa",Indian Institute of Science Education and Research Tirupati,"ab_2509, A_1462, A_1463, A_1480, A_1481, AB_2049, AB_2084, AB_2085",8,NA
"Hong Kong, unspecified",China,,,NA,NA,,,,,,Pycnonotus jocosus,Cornell University Museum of Vertebrates,"13432, 13431",2,NA
"Hoshangabad, Madhya Pradesh",India,,,NA,NA,,,,,,Pycnonotus cafer,Indian Institute of Science Education and Research Tirupati,"ab_2222, a_7553, ab_4763, a_4769",4,NA
Hua-Lien,Taiwan,,,NA,NA,,,,,,Pycnonotus taivanus,Smithsonian NMNH,"USNM 473211, USNM 472384, USNM 483715, USNM 472383, USNM 483716, USNM 472385, USNM 473197, USNM 473198, USNM 473201, USNM 473205, USNM 473206, USNM 473207, USNM 473208, USNM 473209, USNM 473210, USNM 473213, USNM 473214, USNM 473215",18,NA
"Hua-Lien, 3 mi SW",Taiwan,,,NA,NA,,,,,,Pycnonotus taivanus,Smithsonian NMNH,"USNM 473203, USNM 473204",2,NA
"Hua-Lien, Lin-Tien",Taiwan,,,NA,NA,,,,,,Pycnonotus taivanus,Smithsonian NMNH,USNM 473199,1,NA
