COMMON_NAME,area_square_miles
Anchieta's Sunbird,179662.1882
Violet-tailed Sunbird,671964.5606
Mouse-brown Sunbird,518286.6413
Western Violet-backed Sunbird,2031811.943
Plain-throated Sunbird,836526.7751
Uluguru Violet-backed Sunbird,96776.65917
Eastern Violet-backed Sunbird,747471.9939
Green Sunbird,173028.5296
Red-throated Sunbird,167874.6786
Banded Sunbird,2738.346851
Little Green Sunbird,804382.8151
Plain Sunbird,410059.044
Blue Crane,342216.4827
South Georgia Pipit,234.8771903
Berthelot's Pipit,3198.240123
Paramo Pipit,129742.7572
Short-tailed Pipit,583089.8609
Bush Pipit,300409.5207
Pampas Pipit,239817.6851
African Pipit,3793526.584
Correndera Pipit,1396497.686
Yellow-tufted Pipit,132697.0155
Short-billed Pipit,767395.1255
Alpine Pipit,13343.59327
Hellmayr's Pipit,368215.9305
Olive-backed Pipit,328955.2057
Plain-backed Pipit,3547904.186
Striped Pipit,631320.309
Yellowish Pipit,2795949.438
Malindi Pipit,41846.93917
Ochre-breasted Pipit,69911.40699
Nilgiri Pipit,4460.74531
Australasian Pipit,2501831.044
Woodland Pipit,1305659.087
Long-legged Pipit,363783.7316
Peruvian Pipit,34017.70792
Rock Pipit,54443.43705
Meadow Pipit,350568.5185
Rosy Pipit,475639.3275
Paddyfield Pipit,2824978.858
Long-billed Pipit,2437074.937
Sokoke Pipit,874.5743189
Water Pipit,233704.5482
Upland Pipit,179625.1449
Buffy Pipit,1719124.4
Sarus Crane,700693.8314
Sandhill Crane,37783.52003
Brolga,1374465.425
Araripe Manakin,9.354755709
Helmeted Manakin,756913.9353
Mexican Whip-poor-will,246808.0492
Chuck-will's-widow,49512.10514
Greater Antillean Nightjar,42175.49846
Puerto Rican Nightjar,112.7178175
Buff-collared Nightjar,141682.9072
Rufous Nightjar,2081733.954
Tawny-collared Nightjar,44670.39869
Silky-tailed Nightjar,450622.9977
Forbes's Blackbird,43.37318798
Firewood-gatherer,1130762.443
Snow Mountain Quail,3853.270263
Brown-headed Apalis,238695.2809
Kungwe Apalis,15898.32323
Bamenda Apalis,2502.298015
Masked Apalis,55900.76131
Chapin's Apalis,22324.62734
White-winged Apalis,7566.692922
Gray Apalis,168015.2568
Yellow-breasted Apalis,1884351.856
Gosling's Apalis,300047.9635
Black-throated Apalis,208883.4352
Karamoja Apalis,8936.48775
Black-headed Apalis,145111.5639
Black-capped Apalis,322691.5796
Black-faced Apalis,40769.06931
Chestnut-throated Apalis,56964.04272
Rudd's Apalis,64626.13195
Buff-throated Apalis,1060727.778
Sharpe's Apalis,149162.5914
Bar-throated Apalis,474709.419
Bare-cheeked Trogon,245694.245
