gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4164078967	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	ba45eaa0-82cc-4dee-a50f-87fedc448ea1	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus flavostriatus	alfredi	SUBSPECIES	Phyllastrephus flavostriatus alfredi			TZ	Mbizi Forest Reserve		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-7.889722	31.68							2008-03-06	6	3	2008	6540367	2486089	PRESERVED_SPECIMEN	NHMD	AV	NHMD125801				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:46.394Z		COORDINATE_ROUNDED
4164078965	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	8d1a7659-420c-4535-a6bb-4e26daaa3ca5	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla milanjensis	striifacies	SUBSPECIES	Arizelocichla milanjensis striifacies			TZ	Nguru South Forest Reserve		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-6.05	37.479722							2005-03-12	12	3	2005	6540503	7340424	PRESERVED_SPECIMEN	NHMD	AV	NHMD125048				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:44.350Z		COORDINATE_ROUNDED
4164078957	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	653dbb29-8522-402c-a615-707f0a2fac94	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus cabanisi	placidus	SUBSPECIES	Phyllastrephus cabanisi placidus			TZ	Ukami Forest		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-7.88	36.419722							2003-03-16	16	3	2003	6540392	2486087	PRESERVED_SPECIMEN	NHMD	AV	NHMD133190				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:44.349Z		COORDINATE_ROUNDED
4164078883	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	2572fe9f-a01f-4920-89b1-cd2a7f3a2d01	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus cabanisi	cabanisi	SUBSPECIES	Phyllastrephus cabanisi cabanisi (Sharpe, 1882)			TZ	Mahale Mts.		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-6.199722	29.829722							2004-08-15	15	8	2004	7340319	2486087	PRESERVED_SPECIMEN	NHMD	AV	NHMD124845				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:58.230Z		COORDINATE_ROUNDED
4164078875	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	167b01cf-60a1-4cfb-a23b-1d671d0aaeef	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus urostictus	philippensis	SUBSPECIES	Poliolophus urostictus philippensis Hachisuka, 1934			PH	Tuod	Mindanao	PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	8.343889	124.359444							1951-09-18	18	9	1951	11027194	2486143	PRESERVED_SPECIMEN	NHMD	AV	NHMD134249				CC_BY_4_0					2026-03-18T07:45:41.447Z		COORDINATE_ROUNDED
4164078864	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	2d4f47a0-4749-48fe-acbf-4187d40746d6	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus cabanisi	placidus	SUBSPECIES	Phyllastrephus cabanisi placidus			TZ	Mafwemiro Forest		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-6.829722	36.569722							2002-11-20	20	11	2002	6540392	2486087	PRESERVED_SPECIMEN	NHMD	AV	NHMD122862				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:44.339Z		COORDINATE_ROUNDED
4164078852	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	2d2e6901-9df9-4cb9-94b6-dd77c88049dc	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla masukuensis	roehli	SUBSPECIES	Arizelocichla masukuensis roehli (Reichenow, 1905)			TZ	Nguru South Forest Reserve		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-6.05	37.479722							2004-10-13	13	10	2004	6086770	7340439	PRESERVED_SPECIMEN	NHMD	AV	NHMD126339				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:44.337Z		COORDINATE_ROUNDED
4164078847	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	7a5e661e-69c1-4940-8a0f-9fcb43df8dc4	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla masukuensis	roehli	SUBSPECIES	Arizelocichla masukuensis roehli (Reichenow, 1905)			TZ	Nguru South Forest Reserve		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-6.05	37.479722							2003-06-06	6	6	2003	6086770	7340439	PRESERVED_SPECIMEN	NHMD	AV	NHMD122879				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:58.225Z		COORDINATE_ROUNDED
4164078821	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	3b4728ee-da3e-4e19-87a9-f019371dd3f9	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla fusciceps		SPECIES	Arizelocichla fusciceps (Shelley, 1893)			TZ	Ukami Forest		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-7.88	36.419722							2003-03-17	17	3	2003	6100812	6100812	PRESERVED_SPECIMEN	NHMD	AV	NHMD123822				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:41.441Z		COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK
4164078800	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	2301f0d4-ca48-44e3-af30-ba987ed3134f	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus barbatus	tricolor	SUBSPECIES	Pycnonotus barbatus tricolor			NG	Igbetti	Oyo State	PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	9.636667	4.138625							1958-10-07	7	10	1958	6542538	2486147	PRESERVED_SPECIMEN	NHMD	AV	NHMD137538				CC_BY_4_0		Volsøe, Helge			2026-03-18T07:45:58.221Z		COORDINATE_ROUNDED
4164078764	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	f79e7740-4d23-471a-a551-fb610a968483	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla masukuensis		SPECIES	Arizelocichla masukuensis (Shelley, 1897)			TZ	Poroto Mts FR		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-9.016944	33.75							2008-12-18	18	12	2008	7340439	7340439	PRESERVED_SPECIMEN	NHMD	AV	NHMD126854				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:46.373Z		COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK
4164078752	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	90b4df39-50fb-48ab-80da-65cc9fca23dc	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus barbatus	layardi	SUBSPECIES	Pycnonotus barbatus layardi			TZ	Mt. Kilimanjaro		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1967-03-06	6	3	1967	6094955	2486147	PRESERVED_SPECIMEN	NHMD	AV	NHMD119539				CC_BY_4_0		Salanti, M.			2026-03-18T07:45:41.436Z		
4164078734	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	dccb51c2-d966-40f1-a6af-96e2a1b1d303	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla masukuensis	roehli	SUBSPECIES	Arizelocichla masukuensis roehli (Reichenow, 1905)			TZ	Ndundulu Forest	Iringa Region	PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-7.8	36.5							2007-01-16	16	1	2007	6086770	7340439	PRESERVED_SPECIMEN	NHMD	AV	NHMD124948				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:44.325Z		
4164078722	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	00898d0d-add8-4230-bf8c-a379d2197144	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus barbatus	layardi	SUBSPECIES	Pycnonotus barbatus layardi			TZ	Mikindani		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-10.279722	40.119722							1965-02-10	10	2	1965	6094955	2486147	PRESERVED_SPECIMEN	NHMD	AV	NHMD120810				CC_BY_4_0		Andersen, Thorkild			2026-03-18T07:45:44.323Z		COORDINATE_ROUNDED
4164078705	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	abaff46e-5881-426f-b3ec-075fa4423d4a	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Eurillas	Eurillas virens	zombensis	SUBSPECIES	Eurillas virens zombensis (Shelley, 1894)			TZ	Kilindi Forest Reserve		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-5.57	37.569722							2005-05-11	11	5	2005	6086343	7340348	PRESERVED_SPECIMEN	NHMD	AV	NHMD125023				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:46.368Z		COORDINATE_ROUNDED
4164078665	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	70fa0d57-2bf0-4717-9e48-baaa49abe44a	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla masukuensis	masukuensis	SUBSPECIES	Arizelocichla masukuensis masukuensis (Shelley, 1897)			TZ	Poroto Mts FR		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-9.016667	33.75							2008-03-31	31	3	2008	6086761	7340439	PRESERVED_SPECIMEN	NHMD	AV	NHMD125817				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:44.320Z	StillImage	COORDINATE_ROUNDED
4164078652	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	fa6c22e7-0b96-4d58-a5bf-b389d47035fa	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla masukuensis	roehli	SUBSPECIES	Arizelocichla masukuensis roehli (Reichenow, 1905)			TZ	Uluguru Mts.		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-7.0	39.666667							1961-01-13	13	1	1961	6086770	7340439	PRESERVED_SPECIMEN	NHMD	AV	NHMD120823				CC_BY_4_0		Andersen, Thorkild			2026-03-18T07:45:46.365Z		COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH
4164078639	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	ad9e7d50-52ca-44f1-b44a-79497203cffc	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla masukuensis	roehli	SUBSPECIES	Arizelocichla masukuensis roehli (Reichenow, 1905)			TZ	Ndundulu Forest	Iringa Region	PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-7.8	36.5							2006-12-25	25	12	2006	6086770	7340439	PRESERVED_SPECIMEN	NHMD	AV	NHMD124951				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:58.208Z		
4164078634	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	94b07884-548e-41e7-9765-db1ca795844a	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus cabanisi	placidus	SUBSPECIES	Phyllastrephus cabanisi placidus			TZ	North Pare Mts.		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-3.75	37.669722							1959-09-01	1	9	1959	6540392	2486087	PRESERVED_SPECIMEN	NHMD	AV	NHMD122030				CC_BY_4_0		Andersen, Thorkild			2026-03-18T07:45:46.364Z		COORDINATE_ROUNDED
4164078627	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	8f7d341a-d34c-4361-87cf-d0eb1db4b208	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Eurillas	Eurillas virens	zombensis	SUBSPECIES	Eurillas virens zombensis (Shelley, 1894)			TZ	Kalambo River Forest Reserve		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-7.869722	30.95							2007-11-17	17	11	2007	6086343	7340348	PRESERVED_SPECIMEN	NHMD	AV	NHMD125042				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:41.420Z		COORDINATE_ROUNDED
4164078613	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	6b18bef4-e817-4b0e-9f10-6c2b18d4cafa	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus goiavier	suluensis	SUBSPECIES	Pycnonotus goiavier suluensis Mearns, 1909			PH	Opol	Mindanao	PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	8.52	124.573333							1951-08-22	22	8	1951	6094616	2486144	PRESERVED_SPECIMEN	NHMD	AV	NHMD134243				CC_BY_4_0					2026-03-18T07:45:41.418Z		COORDINATE_ROUNDED
