,Var1,Freq
65,Andropadus vireus vireus,1
66,Andropadus viridis,2
67,Arizelocichla kikuyuensis,2
68,Arizelocichla masukuensis masukuensis,14
69,Arizelocichla milanjensis fusciceps,1
70,Arizelocichla nigriceps fusciceps,21
71,Arizelocichla strifacies fusciceps,1
72,Arizelocichla tephrolaema bamendae,5
73,Arizelocichla tephrolaema tephrolaema,1
74,Baeopogon clamans,10
75,Baeopogon indicator,17
76,Baeopogon indicator chlorosathratus,1
77,Baeopogon indicator chlorosaturatus,2
78,Baeopogon indicator chlorsaturata,11
79,Baeopogon indicator indicator,2
80,Baeopogon indicator leucurus,7
81,Baeopogon indicator ussheri,3
82,Bleda albigularis,3
83,Bleda canicapilla,29
84,Bleda canicapillus,8
85,Bleda canicappilla,4
86,Bleda eximia,17
87,Bleda eximia eximia,9
88,Bleda eximia notata,16
89,Bleda eximia ugandae,34
90,Bleda eximius,9
91,Bleda eximius notatus,14
92,Bleda notata,22
93,Bleda notata notata,1
94,Bleda notata pallidior,1
95,Bleda sethsmithi,6
96,Bleda syndactyla,13
97,Bleda syndactyla ogawensis,8
98,Bleda syndactyla ogowensis,9
99,Bleda syndactyla syndactyla,9
100,Bleda syndactyla woosnami,70
101,Bleda syndactylus,14
102,Bleda ximia ugandae,8
103,Calyptocichla,10
104,Calyptocichla curvirostris,1
105,Calyptocichla gracilis,2
106,Calyptocichla serena,11
107,Calyptocichla serina,12
108,Calyptocichla serinus,4
109,Cerasophila thompsoni,3
110,Chlorocichla,1
111,Chlorocichla f. soror,1
112,Chlorocichla falkensteini,9
113,Chlorocichla falkensteini falkensteini,1
114,Chlorocichla falkensteini viridescentior,5
115,Chlorocichla faviventris,1
116,Chlorocichla flavicollis,21
117,Chlorocichla flavicollis adamauae,26
118,Chlorocichla flavicollis flavigola,8
119,Chlorocichla flavicollis flavigula,62
120,Chlorocichla flavicollis pallidigula,2
121,Chlorocichla flavicollis shellegi,1
122,Chlorocichla flavicollis soror,8
123,Chlorocichla flaviventris,13
124,Chlorocichla flaviventris centralis,5
125,Chlorocichla flaviventris mombasae,25
126,Chlorocichla flaviventris occidentalis,32
127,Chlorocichla flaviventris zambeziae,1
128,Chlorocichla folkensteini foldensteini,2
129,Chlorocichla fusciceps,1
130,Chlorocichla hikuyuensis,2
131,Chlorocichla kakamegae,4
132,Chlorocichla lactissima,12
133,Chlorocichla laetissima,12
134,Chlorocichla laetissima laetissima,3
135,Chlorocichla laetissimus,24
136,Chlorocichla masukuensis kakamegae,7
137,Chlorocichla neumanni,1
138,Chlorocichla nigriceps,15
139,Chlorocichla nigriceps fusciceps,1
140,Chlorocichla percevali,1
141,Chlorocichla simplex,39
142,Chlorocichla striifacies,26
143,Chlorocichla t. kikuyuensis,26
144,Chlorocichla t. schubotzi,1
145,Chlorocichla tephrelaema kikuyuensis,2
146,Chlorocichla tephrolaema,6
147,Chlorocichla tephrolaema bamendae,5
148,Chlorocichla tephrolaema kikuyensus,34
149,Chlorocichla tephrolaema kikuynensis,1
150,Chlorocichla tephrolaema kikuyuensis,6
151,Chlorocichla tephrolaema schubotzi,16
152,Chlorocichla tephrolaema tephrolaema,2
153,Criniger,15
154,Criniger affinis,1
155,Criniger barbatus,13
156,Criniger barbatus ansorgeanus,4
157,Criniger barbatus barbatus,11
158,Criniger barbatus chloronotus,1
159,Criniger bres,11
160,Criniger bres frater,2
161,Criniger calurus,39
162,Criniger calurus calurus,5
163,Criniger calurus emini,6
164,Criniger calurus ndussumensis,53
165,Criniger calurus verreauxi,6
