"gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue",,,,,
"863508117	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:278770	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus flavostriatus	alfredi	SUBSPECIES	Phyllastrephus flavostriatus alfredi	Phyllastrephus flavostriatus alfredi		MW	Ruo River"," Mt. Mlanjie		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862									1949-03-31	31	3	1949	6540367	2486089	PRESERVED_SPECIMEN	MCZ	Orn	278770		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College				2026-04-18T11:46:12.534Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,
"863508114	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:249565	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Thescelocichla	Thescelocichla leucopleura		SPECIES	Thescelocichla leucopleura (Cassin"," 1855)	Thescelocichla leucopleura		CM	Sousak		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	7.13506	13.05469	708218.0	1.0E-5					1924-10-03	3	10	1924	2486190	2486190	PRESERVED_SPECIMEN	MCZ	Orn	249565		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	George W. Schwab			2026-04-18T11:45:17.207Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,
"863508111	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:139863	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus fischeri		SPECIES	Phyllastrephus fischeri (Reichenow"," 1879)	Phyllastrephus fischeri sucosus		KE	Mt. Elgon"," Mangika		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	1.13333	34.55	301.0	1.0E-5	1828.8	0.0			1900-07-21	21	7	1900	2486097	2486097	PRESERVED_SPECIMEN	MCZ	Orn	139863		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	F. J. Jackson			2026-04-18T11:47:25.513Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;TAXON_MATCH_HIGHERRANK",,,
"863508110	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:168779	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus fischeri		SPECIES	Phyllastrephus fischeri (Reichenow"," 1879)	Phyllastrephus fischeri placidus		KE	Mt. Mbolola"," Taita		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	1.75044	36.18348	301.0	1.0E-5					1934-04-18	18	4	1934	2486097	2486097	PRESERVED_SPECIMEN	MCZ	Orn	168779		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Arthur Loveridge			2026-04-18T11:47:59.091Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;TAXON_MATCH_HIGHERRANK",,,
"863508108	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:279682	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus terrestris	suahelicus	SUBSPECIES	Phyllastrephus terrestris suahelicus Reichenow"," 1904	Phyllastrephus terrestris suahelicus		MW	Njakwa"," Mzimba Dist.		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-12.45721	33.77387	3036.0	1.0E-5					1948-08-07	7	8	1948	6086295	2486094	PRESERVED_SPECIMEN	MCZ	Orn	279682		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Benson			2026-04-18T11:45:18.908Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,
"863508106	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:134186	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus cerviniventris		SPECIES	Phyllastrephus cerviniventris Shelley"," 1894	Phyllastrephus cerviniventris		TZ	Uluguru Mts.		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862									1921-05-15	15	5	1921	2486105	2486105	PRESERVED_SPECIMEN	MCZ	Orn	134186		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Arthur Loveridge			2026-04-18T11:46:56.160Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,
"863508103	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:198965	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus flavostriatus	flavostriatus	SUBSPECIES	Phyllastrephus flavostriatus flavostriatus (Sharpe"," 1876)	Phyllastrephus flavostriatus flavostriatus		ZW	Vumba	Manicaland	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-19.08333	32.75	64632.0	1.0E-5					1937-12-19	19	12	1937	6086064	2486089	PRESERVED_SPECIMEN	MCZ	Orn	198965		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	A. G. White			2026-04-18T11:48:26.167Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,
"863508101	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:237879	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus flavostriatus	tenuirostris	SUBSPECIES	Phyllastrephus flavostriatus tenuirostris (Fischer & Reichenow"," 1884)	Phyllastrephus flavostriatus tenuirostris		TZ	Amani"," Usambara Mts.		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-5.36667	39.71667	3036.0	1.0E-5					1926-11-18	18	11	1926	6086107	2486089	PRESERVED_SPECIMEN	MCZ	Orn	237879		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Arthur Loveridge			2026-04-18T11:47:17.379Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,
"863508100	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:134212	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus fischeri		SPECIES	Phyllastrephus fischeri (Reichenow"," 1879)	Phyllastrephus fischeri placidus		KE	Ngong Forest	Nairobi	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-1.31809	36.7431	4678.0	1.0E-5					1919-07-22	22	7	1919	2486097	2486097	PRESERVED_SPECIMEN	MCZ	Orn	134212		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Arthur Loveridge			2026-04-18T11:45:13.012Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;TAXON_MATCH_HIGHERRANK",,,,
"863508098	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:237881	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus debilis		SPECIES	Phyllastrephus debilis (W.L.Sclater"," 1899)	Phyllastrephus debilis albigula		TZ	Amani"," Usambara		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	-5.36667	39.71667	3036.0	1.0E-5					1926-11-30	30	11	1926	2486088	2486088	PRESERVED_SPECIMEN	MCZ	Orn	237881		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Arthur Loveridge			2026-04-18T11:47:56.304Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;TAXON_MATCH_HIGHERRANK",,,
