Catalog #,Tissue #,Family - Full Name,Preparator #,Genus - Full Name,Species - Full Name,Country - Full Name,State - Full Name,County - Full Name,Locality,DecimalLatitude,DecimalLongitude,Collection Date,Preparations,Collection Object - Remarks,Collector (orig),Collectors - Last Name,Collectors - First Name,Collectors - Middle Initial,Specimen Attribute - Age,Age Category,Specimen Attribute - Bursa,Specimen Attribute - Fat,Specimen Attribute - Gonads,Specimen Attribute - Molt,Specimen Attribute - Sex,Skull Oss.
120737,28623,Pycnonotidae,KRI 137,Pycnonotus,goiavier,Philippines,Misamis Oriental,,"Mindanao Island, Mt. Lumot",8.722,125.076,07/13/2012,Alcoholic - 1; Tissue - 100,"parasite-5691, secondary  forest",net,,,,,,,,,body,u,
120748,30007,Pycnonotidae,RMB 17523,Hypsipetes,rufigularis,Philippines,Zamboanga del Sur,,"Mindanao Island, Pasonanca Natural Park, Dos Rios",7.0074,122.0655,10/06/12,Alcoholic - 1; Tissue - 100,,net,,,,,,,,,,u,
120749,30008,Pycnonotidae,RMB 17524,Hypsipetes,rufigularis,Philippines,Zamboanga del Sur,,"Mindanao Island, Pasonanca Natural Park, Dos Rios",7.0074,122.0655,10/06/12,Alcoholic - 1; Tissue - 100,,net,,,,,,,,,,u,
120750,30009,Pycnonotidae,RMB 17525,Pycnonotus,urostictus,Philippines,Zamboanga del Sur,,"Mindanao Island, Pasonanca Natural Park, Dos Rios",7.0074,122.0655,10/06/12,Alcoholic - 1; Tissue - 100,,net,,,,,,,,,,u,
120763,29027,Pycnonotidae,MJA 1046,Eurillas,latirostris,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km N",-0.241,20.883,06/09/12,Alcoholic - 1; Tissue - 100,in primary forest,netted,,,,,,,,,no,u,
120767,29043,Pycnonotidae,CHO 1720,Eurillas,virens,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km N",-0.241,20.883,06/10/12,Alcoholic - 1; Tissue - 100,in primary forest,netted,,,,,,,,,no,u,
120768,29044,Pycnonotidae,CHO 1721,Bleda,ugandae,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km N",-0.241,20.883,06/10/12,Alcoholic - 1; Tissue - 100,in primary forest,netted,,,,,,,,,no,u,
120769,29045,Pycnonotidae,CHO 1722,Phyllastrephus,icterinus,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km N",-0.241,20.883,06/10/12,Alcoholic - 1; Tissue - 100,in primary forest,netted,,,,,,,,,all over body,u,
120770,29062,Pycnonotidae,CHO 1729,Criniger,calurus,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km N",-0.241,20.883,06/12/12,Alcoholic - 1; Tissue - 100,in primary forest,netted,,,,,,,,,tail,u,
120779,29102,Pycnonotidae,MJA 1089,Bleda,ugandae,Democratic Republic of the Congo,Equateur,,"Boende, 4.2 km N",-0.241,20.883,06/16/2012,Alcoholic - 1; Tissue - 100,in primary forest,netted,,,,,,,,,no,u,
120781,29157,Pycnonotidae,MJA 1119,Bleda,notatus,Democratic Republic of the Congo,Bas Congo,,Luki Biosphere Reserve,-5.621,13.098,06/25/2012,Alcoholic - 1; Tissue - 100,mature lowland forest,netted,,,,,,,,,no,u,
120783,29159,Pycnonotidae,MJA 1121,Phyllastrephus,icterinus,Democratic Republic of the Congo,Bas Congo,,Luki Biosphere Reserve,-5.621,13.098,06/25/2012,Alcoholic - 1; Tissue - 100,mature lowland forest,netted,,,,,,,,,no,u,
