Unique.Specimen.Identifier,Family,Order1,Sequence,Specimen.number,Source,Sex,Locality,Country,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.wing.Index,Tail.Length,Sample.Number,Measurer,Avonet.Protocol.Used,Protocol.both.pairs,Protocol.neither.pair
Pycnonotus bimaculatus_1919.12.12.101,Pycnonotidae,PASSERIFORMES,7901,1919.12.12.101,NHMUK,M,-,-,19,NA,4.8,5.2,18.2,88,NA,NA,NA,92,2,GT,0,0,0
Pycnonotus capensis_1950.50.577,Pycnonotidae,PASSERIFORMES,7897,1950.50.577,NHMUK,M,-,-,20.2,NA,4,4.7,22.4,92,NA,NA,NA,82,1,GT,0,0,0
Pycnonotus capensis_1950.50.577,Pycnonotidae,PASSERIFORMES,7897,1950.50.577,NHMUK,M,Cape Town,South Africa,19.4,10.3,4,4.5,21.4,93,14.7,78.3,15.8,86,2,CV,1,0,0
Pycnonotus cinereifrons_1911.11.16.230,Pycnonotidae,PASSERIFORMES,NA,1911.11.16.230,NHMUK,M,Palawan,Philippines,19.6,11,5,5.4,19.6,78,6.8,71.2,NA,68,1,RAB,1,1,0
Pycnonotus cinereifrons_1911.11.16.230,Pycnonotidae,PASSERIFORMES,NA,1911.11.16.230,NHMUK,M,"Iwahig, Palawan",Philippines,19.32,10.74,4.31,5.19,20.17,79.5,7.3,72.2,NA,70,2,ER,1,1,0
Pycnonotus cinereifrons_1911.11.16.232,Pycnonotidae,PASSERIFORMES,NA,1911.11.16.232,NHMUK,M,Palawan,Philippines,20.2,11,4.8,5.1,20.7,83,9.8,73.2,NA,68,1,PW,1,1,0
Pycnonotus cinereifrons_1911.11.16.232,Pycnonotidae,PASSERIFORMES,NA,1911.11.16.232,NHMUK,M,"Iwahig, Palawan",Philippines,19.71,10.67,4.54,5.06,20.07,81.5,9.02,72.48,NA,70,2,ER,1,1,0
Pycnonotus cinereifrons_80.10.19.44,Pycnonotidae,PASSERIFORMES,NA,80.10.19.44,NHMUK,F,Puerto Pincesa,Philippines,18.7,10.1,4.9,4.6,20.2,84,12.7,71.3,NA,75,1,PW,1,1,0
Pycnonotus cinereifrons_80.10.19.44,Pycnonotidae,PASSERIFORMES,NA,80.10.19.44,NHMUK,F,"Puerto Princessa, Palawan",Philippines,18.6,10.19,4.54,4.44,19.91,84,10.43,73.57,NA,80,2,ER,1,1,0
Pycnonotus leucogenys_1938.7.15.846,Pycnonotidae,PASSERIFORMES,NA,1938.7.15.846,NHMUK,M,NA,NA,18.7,NA,4,4.6,19.3,93,NA,NA,NA,89,1,GT,1,1,0
