Unique.Specimen.Identifier,Family,Order1,Sequence,Specimen.number,Source,Sex,Locality,Country,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.wing.Index,Tail.Length,Sample.Number,Measurer,Avonet.Protocol.Used,Protocol.both.pairs,Protocol.neither.pair
Baeopogon clamans_1920.6.26.411,Pycnonotidae,PASSERIFORMES,NA,1920.6.26.411,NHMUK,M,NA,NA,17.6,9.5,4.3,4.7,17.4,97,15.6,81.4,NA,79,1,CV,1,1,0
Baeopogon clamans_1920.6.26.411,Pycnonotidae,PASSERIFORMES,NA,1920.6.26.411,NHMUK,M,"Bitye, River Ja",Cameroon,17.56,9.51,4.43,5.03,19.56,95,16.14,78.86,NA,77,2,ER,1,1,0
Baeopogon clamans_1966.16.1166,Pycnonotidae,PASSERIFORMES,NA,1966.16.1166,NHMUK,F,NA,NA,16,8.2,4.5,4.3,18.4,95,17.4,77.6,NA,71,1,CV,1,1,0
Baeopogon clamans_1966.16.1166,Pycnonotidae,PASSERIFORMES,NA,1966.16.1166,NHMUK,F,Kumba,Cameroon,16.09,9.32,4.63,4.67,19.53,93,17.32,75.68,NA,70,2,ER,1,1,0
Baeopogon clamans_1966.16.1167,Pycnonotidae,PASSERIFORMES,NA,1966.16.1167,NHMUK,F,NA,NA,16.8,8.9,4.6,4.9,20.4,98,17.3,80.7,NA,71,1,CV,1,1,0
Baeopogon clamans_1966.16.1167,Pycnonotidae,PASSERIFORMES,NA,1966.16.1167,NHMUK,F,Mbongwe,Cameroon,17.49,9.55,4.48,NA,19.98,96,17.03,78.97,NA,72,2,ER,1,1,0
Baeopogon indicator_1911.5.31.283,Pycnonotidae,PASSERIFORMES,NA,1911.5.31.283,NHMUK,M,NA,NA,18.8,NA,4.5,5.1,25.5,99,NA,NA,NA,NA,1,GT,1,1,0
Baeopogon indicator_1911.5.31.283,Pycnonotidae,PASSERIFORMES,NA,1911.5.31.283,NHMUK,M,River Ja,Cameroon,18.89,10.05,4.34,5.01,18.57,96,15.89,80.11,NA,76.5,2,ER,1,1,0
Bleda notatus_1904.6.22.128,Pycnonotidae,PASSERIFORMES,7772,1904.6.22.128,NHMUK,M,-,-,21.5,NA,5.3,6.5,25.4,95,NA,NA,NA,87,1,GT,0,0,0
Bleda notatus_1904.6.22.128,Pycnonotidae,PASSERIFORMES,7772,1904.6.22.128,NHMUK,M,"Bubi, Fernando Po",Equatorial Guinea,21.2,14.3,4.3,6.9,25,94,12.3,81.7,13.1,87,2,CS,1,0,0
Chlorocichla flaviventris_85.1.3.4,Pycnonotidae,PASSERIFORMES,7782,85.1.3.4,NHMUK,M,-,-,23.5,NA,4.9,6.9,24.6,102,NA,NA,NA,102,1,GT,0,0,0
Chlorocichla flaviventris_85.1.3.4,Pycnonotidae,PASSERIFORMES,7782,85.1.3.4,NHMUK,M,Durban,South Africa,22.3,12.7,5,6.7,23.3,104,12.8,91.2,12.3,101,2,CV,1,0,0
Chlorocichla laetissima_1949.30.137,Pycnonotidae,PASSERIFORMES,7780,1949.30.137,NHMUK,F,-,-,21.7,NA,5.1,5.5,24.8,101,NA,NA,NA,96,1,GT,0,0,0
Chlorocichla laetissima_1949.30.137,Pycnonotidae,PASSERIFORMES,7780,1949.30.137,NHMUK,F,"Gilo, Imatong Mts",Sudan,20.7,10.7,4.9,5,20.7,103,13.9,89.1,13.5,95,2,CV,1,0,0
Criniger chloronotus_95.5.1.675,Pycnonotidae,PASSERIFORMES,7800,95.5.1.675,NHMUK,M,-,-,21.8,NA,6,NA,23.7,108,NA,NA,NA,96,1,GT,0,0,0
